,Image.Name,Date,Altitude,var,dens,Rows,Plots,Intensity,Hue,Saturation,Lightness,a.,b.,u.,v.,GA,GGA,CSI,NGRDI,NGRDIveg,TGI,TGIveg
156,R-002_Plot-018,2022-02-03,30m,MARCOPOLO,140,R2,203,0.3271743,35.155487,0.103340626,36.24667,-1.2353162,11.810733,4.0753293,13.035788,0.010292398,9.57E-05,99.07024793,-0.0388,0.0027,336.992,618.7603
170,R-002_Plot-019,2022-02-03,30m,BOLOGNA,140,R2,204,0.319961,35.989883,0.112537384,35.557037,-1.2167934,12.221719,4.2440147,13.34401,0.013652313,3.19E-05,99.76635514,-0.0405,0.0045,378.5187,738.7617
38,R-001_Plot-011,2022-03-09,15m,MARCOPOLO,70,R1,111,0.29956147,56.883575,0.09835732,33.69883,-3.9517243,11.491947,0.38402754,12.834893,0.436361529,0.18748206,57.03515363,0.0034,0.0441,637.1369,941.2129
39,R-001_Plot-011,2022-01-19,15m,MARCOPOLO,70,R1,111,0.35776368,37.342213,0.099651635,39.619095,-1.7382581,12.519147,3.8632264,14.26885,0.043231547,0.004800439,88.89598229,-0.0336,0.0089,405.5668,633.9059
40,R-001_Plot-011,2022-06-02,50m,MARCOPOLO,70,R1,111,0.19155884,77.29396,0.12456417,21.735003,-5.0582733,9.938803,-1.5165727,9.554395,0.895266183,0.400748639,55.23692879,0.0382,0.045,747.4055,760.895
41,R-001_Plot-011,2022-04-19,50m,MARCOPOLO,70,R1,111,0.17388631,98.318665,0.16494828,20.82096,-9.035901,12.091298,-4.8851175,11.546007,0.910087719,0.769850272,15.4092231,0.131,0.1487,1327.334,1387.4859
189,R-001_Plot-002,2022-02-03,30m,MARCOPOLO,140,R1,102,0.3105824,29.610516,0.12426865,34.364857,0.29638723,12.30181,6.182448,12.989295,0.000988836,0,100,-0.0604,0.0022,234.9251,667.043
43,R-001_Plot-011,2022-03-09,30m,MARCOPOLO,70,R1,111,0.2986237,38.843166,0.11224532,33.277412,-1.6474792,11.693472,3.3600953,12.582129,0.160591697,0.038639576,75.939244,-0.0312,0.0297,412.5082,916.5687
44,R-001_Plot-011,2022-03-22,50m,MARCOPOLO,70,R1,111,0.29732707,46.59033,0.11945224,33.440346,-2.8375754,12.401352,2.1483889,13.482051,0.235367514,0.01830006,92.2248996,-0.0187,0.0129,592.9218,794.09
152,R-002_Plot-018,2022-05-03,50m,MARCOPOLO,140,R2,203,0.14079931,124.87015,0.14729422,16.891338,-10.574996,9.792574,-6.4322824,8.971758,0.998676649,0.983174531,1.55226593,0.2159,0.2162,1322.5826,1323.0366
46,R-001_Plot-011,2022-04-05,50m,MARCOPOLO,70,R1,111,0.19604206,75.124,0.14579964,22.49996,-5.390849,11.070842,-1.5122274,10.673008,0.776126739,0.471642468,39.23125639,0.0489,0.0738,860.9375,941.4765
175,R-002_Plot-019,2022-05-03,50m,BOLOGNA,140,R2,204,0.15419984,112.67183,0.18615001,19.4974,-12.638707,13.272623,-7.8838577,12.4646225,0.995500605,0.978599516,1.697747731,0.2202,0.2213,1775.3785,1778.5299
179,R-001_Plot-002,2022-05-03,50m,MARCOPOLO,140,R1,102,0.19205438,124.437645,0.13509154,23.633875,-12.783617,11.853733,-9.025618,12.6023245,0.926837568,0.878743194,5.189083344,0.2118,0.2316,1673.681,1740.4177
201,R-002_Plot-020,2022-02-03,30m,MARCOPOLO,35,R2,205,0.33588406,31.070059,0.12120545,37.18372,-0.0726133,12.951005,6.157266,14.084739,0.001105795,0,100,-0.0553,0.0038,291.2466,640.1923
50,R-001_Plot-012,2022-01-19,30m,HONDIA,35,R1,112,0.3490776,42.284954,0.09353912,38.764244,-2.5140898,12.064457,2.6007655,13.835181,0.073444762,0.036385139,50.45917726,-0.0114,0.0982,468.1685,344.6521
215,R-002_Plot-021,2022-02-03,30m,HONDIA,70,R2,206,0.3383722,27.948011,0.12139863,37.318108,0.6960631,12.855961,7.152727,13.872852,0.001116427,6.38E-05,94.28571429,-0.0632,0.0063,198.3285,586.1429
52,R-001_Plot-012,2022-03-09,15m,HONDIA,35,R1,112,0.31012928,55.454002,0.095103264,34.811573,-3.858325,11.55049,0.5446747,13.033093,0.40784041,0.134314765,67.06683269,-4.00E-04,0.0343,619.1466,910.2798
53,R-001_Plot-012,2022-01-19,15m,HONDIA,35,R1,112,0.35373905,42.590046,0.09220016,39.267853,-2.6051059,12.12481,2.52227,13.975032,0.113006263,0.010552133,90.66234654,-0.0224,0.0084,473.2881,650.7829
54,R-001_Plot-012,2022-06-02,50m,HONDIA,35,R1,112,0.16156642,137.79785,0.13232476,18.592445,-8.996667,7.3111057,-5.9617324,7.3341074,0.996937387,0.987447066,0.95194751,0.1826,0.1826,973.7925,973.7781
206,R-002_Plot-020,2022-05-03,50m,MARCOPOLO,35,R2,205,0.24035068,96.60014,0.1436429,28.826881,-10.164126,14.026209,-6.038002,15.264896,0.867816092,0.749168179,13.67201115,0.1129,0.1354,1545.7346,1625.107
230,R-002_Plot-022,2022-02-03,30m,HONDIA,35,R2,207,0.33370903,26.236448,0.11659634,36.70793,0.956753,12.341226,7.232299,13.236918,0.000712387,0,100,-0.0657,0.0094,135.4632,740.1493
57,R-001_Plot-012,2022-03-09,30m,HONDIA,35,R1,112,0.30718678,38.744663,0.099493206,34.113216,-1.7584519,11.171328,3.0346713,12.212499,0.152266911,0.033021962,78.3131068,-0.0288,0.0252,374.2874,849.0664
58,R-001_Plot-012,2022-03-22,50m,HONDIA,35,R1,112,0.3178161,41.08628,0.11259484,35.497234,-2.110414,12.396501,3.1550276,13.660434,0.156722626,0.009679371,93.8238842,-0.0278,0.0106,488.3226,794.5259
59,R-001_Plot-012,2022-04-19,50m,HONDIA,35,R1,112,0.21256106,104.10292,0.16054106,26.158413,-11.889659,14.354471,-7.6575966,15.148114,0.905437084,0.789057774,12.85338456,0.1515,0.1723,1769.1861,1867.2921
221,R-002_Plot-021,2022-05-03,50m,HONDIA,70,R2,206,0.18325312,136.36354,0.251383,23.764847,-16.834972,12.672494,-12.83327,13.840263,1,0.99969752,0.030248034,0.3091,0.3091,2177.399,2177.399
61,R-001_Plot-012,2022-04-05,50m,HONDIA,35,R1,112,0.252141,51.84695,0.14551508,28.668285,-3.3509505,12.496777,1.3850156,12.832704,0.450506655,0.185307018,58.8669744,-0.0047,0.0472,709.0519,988.5501
239,R-002_Plot-022,2022-05-03,50m,HONDIA,35,R2,207,0.21556015,127.08499,0.16803211,27.356878,-16.003872,14.054663,-12.265708,15.802581,0.985556564,0.963286449,2.259648584,0.2429,0.2469,2178.7681,2192.5483
244,R-002_Plot-023,2022-02-03,30m,MARCOPOLO,560,R2,208,0.28983033,34.245132,0.122867346,32.22181,-0.6791653,11.819689,4.5874543,12.381423,0.036172249,0.001371611,96.20811287,-0.0474,0.0092,333.3651,684.4459
254,R-002_Plot-023,2022-05-03,50m,MARCOPOLO,560,R2,208,0.12167549,124.10864,0.1716429,14.676011,-10.826342,9.874744,-6.198138,8.379497,1,1,0,0.2423,0.2423,1359.0884,1359.0884
259,R-002_Plot-024,2022-02-03,30m,BOLOGNA,70,R2,209,0.32360688,32.125465,0.11926478,35.865807,-0.3312375,12.533205,5.554051,13.536951,0.004933546,0.000180755,96.3362069,-0.0518,0.0056,305.0781,641.2607
66,R-001_Plot-013,2022-03-09,15m,BOLOGNA,35,R1,113,0.326125,50.65605,0.09319973,36.46101,-3.4595804,11.71808,1.1565671,13.354232,0.326104156,0.10600892,67.49231247,-0.007,0.0337,569.937,918.4267
67,R-001_Plot-013,2022-01-19,15m,BOLOGNA,35,R1,113,0.36239108,42.863373,0.09698266,40.26347,-2.6447952,12.681021,2.7453804,14.675697,0.090433714,0.005628418,93.77619532,-0.0232,0.007,515.4461,718.0161
273,R-002_Plot-025,2022-02-03,30m,BOLOGNA,35,R2,210,0.33293208,30.009789,0.116603136,36.787827,0.049111534,12.531791,6.111892,13.596221,0.001499203,0,100,-0.0557,0.0052,247.7635,645.5319
268,R-002_Plot-024,2022-05-03,50m,BOLOGNA,70,R2,209,0.20954381,100.816154,0.1794036,25.942904,-11.93627,15.054807,-7.4858465,15.657096,0.951489716,0.842294313,11.47625671,0.1428,0.1517,1826.3122,1865.4478
301,R-002_Plot-026,2022-02-03,30m,HONDIA,560,R2,211,0.3020171,34.148914,0.11023593,33.485775,-0.8981191,11.481116,4.236827,12.281075,0.024922913,0.001360978,94.53924915,-0.0434,0.0052,309.516,582.0097
71,R-001_Plot-013,2022-03-09,30m,BOLOGNA,35,R1,113,0.3216602,35.90353,0.09729016,35.610744,-1.4222528,11.330211,3.595959,12.508357,0.113211557,0.026489638,76.60164858,-0.0334,0.0251,327.2211,866.608
72,R-001_Plot-013,2022-03-22,50m,BOLOGNA,35,R1,113,0.32721457,38.05505,0.11058682,36.414814,-1.6562976,12.407373,3.7894409,13.721535,0.069078947,0.002949183,95.73070608,-0.0336,0.0097,427.7656,794.8878
73,R-001_Plot-013,2022-04-19,50m,BOLOGNA,35,R1,113,0.2307599,57.41568,0.22239673,27.11907,-4.604034,15.772585,0.9735499,15.413281,0.533688748,0.288301573,45.97945448,0.0172,0.0873,1121.6323,1457.1895
283,R-002_Plot-025,2022-05-03,50m,BOLOGNA,35,R2,210,0.25081596,93.18518,0.20993418,31.331442,-13.035247,18.58938,-8.055157,20.169802,0.896249244,0.736464005,17.82821465,0.1274,0.146,2209.2663,2309.5345
75,R-001_Plot-013,2022-04-05,50m,BOLOGNA,35,R1,113,0.2598082,41.621746,0.15300107,29.303799,-1.715683,12.762529,3.4967215,12.919789,0.3478902,0.171619782,50.66840561,-0.0209,0.0597,554.814,894.928
76,R-001_Plot-013,2022-01-19,30m,BOLOGNA,35,R1,113,0.38176706,37.818844,0.10641563,42.29118,-1.8260462,13.655282,4.3586483,15.785538,0.0220362,0.001145698,94.80083857,-0.0347,0.0065,474.2867,841.8677
