"","Image.Name","Date","Altitude","var","dens","Rows","Plots","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"41","R-002_Plot-025","2022-04-05","50m","BOLOGNA","35","R2",210,0.298623,39.15422,0.19042444,33.99915,-0.9348754,16.254093,6.1568503,16.783154,0.145114942528736,0.033310647307925,77.0453361125586,-0.0485,0.0386,710.5876,1185.2749
"42","R-002_Plot-025","2022-02-14","15m","BOLOGNA","35","R2",210,0.27502692,32.26414,0.11689365,30.435726,-0.41347677,10.934878,4.4503007,11.241812,0.0458590006844627,0.00740397282756692,83.854918953619,-0.0509,0.0148,257.2552,546.4969
"43","R-002_Plot-025","2022-02-03","15m","BOLOGNA","35","R2",210,0.29678681,27.756235,0.10989672,32.675034,0.28847304,11.00524,5.5061665,11.510223,0.0186332089524777,0.00364126794874626,80.4581811000296,-0.0604,0.0152,152.6369,576.2443
"44","R-002_Plot-025","2022-03-09","15m","BOLOGNA","35","R2",210,0.29352054,36.96928,0.105084896,32.587757,-1.4302982,11.0696745,3.344452,11.849582,0.163268272578069,0.0557708301134147,65.8409872091058,-0.0323,0.0406,343.61,891.7289
"45","R-002_Plot-025","2022-02-14","30m","BOLOGNA","35","R2",210,0.27708313,25.934898,0.12569445,30.487215,1.0710441,11.160166,6.408007,11.210702,0.00807532037955854,0.0011549371252229,85.6979405034325,-0.0721,0.0137,112.7972,626.3943
"46","R-002_Plot-025","2022-03-09","30m","BOLOGNA","35","R2",210,0.31937727,39.72701,0.10569447,35.551064,-1.8961543,11.935527,3.2394161,13.179956,0.137095656512459,0.0228307970914063,83.3468122388462,-0.0289,0.0212,433.4884,875.4395
"47","R-002_Plot-025","2022-03-22","50m","BOLOGNA","35","R2",210,0.3401947,30.181274,0.115287185,37.573807,0,12.67693,6.1575394,13.854447,0.0244252873563218,0.000794010889292196,96.7492260061919,-0.0526,0.0106,255.2547,856.5093
"48","R-002_Plot-025","2022-04-19","50m","BOLOGNA","35","R2",210,0.2511721,59.261093,0.23369837,29.81631,-5.3608937,17.553165,0.76253027,17.665901,0.518753781004235,0.234081972171809,54.8760932944607,0.0121,0.0733,1329.0468,1698.129
"49","R-002_Plot-025","2022-02-02","30m","BOLOGNA","35","R2",210,0.33293208,30.009789,0.116603136,36.787827,0.049111534,12.531791,6.111892,13.596221,0.00149920255183413,0,100,-0.0557,0.0052,247.7635,645.5319
"50","R-002_Plot-025","2022-05-03","50m","BOLOGNA","35","R2",210,0.25081596,93.18518,0.20993418,31.331442,-13.035247,18.58938,-8.055157,20.169802,0.896249243799153,0.736464004839685,17.8282146473169,0.1274,0.146,2209.2663,2309.5345
"51","R-003_Plot-033","2022-04-05","50m","HONDIA","35","R3",303,0.30440494,44.78696,0.20334971,35.086834,-2.4127116,17.650389,4.8340893,18.50275,0.290910465819722,0.123374168179068,57.590330127372,-0.0263,0.0653,973.7528,1499.9578
"52","R-003_Plot-033","2022-04-19","50m","HONDIA","35","R3",303,0.23607904,95.85062,0.17985636,29.023561,-11.735735,16.100245,-7.179618,17.301071,0.830573200241984,0.704363278886872,15.1955205535576,0.1371,0.1762,1873.9704,2076.7176
"53","R-003_Plot-033","2022-02-03","15m","HONDIA","35","R3",303,0.30269566,29.271112,0.09679997,33.310085,-0.3383109,10.527211,4.536205,11.237964,0.0286959145672797,0.00475627976124764,83.425237240318,-0.0507,0.0111,170.9322,523.5699
"54","R-003_Plot-033","2022-03-09","15m","HONDIA","35","R3",303,0.31271783,47.149456,0.090646505,34.86073,-2.9498448,11.0904665,1.5059909,12.43308,0.301172786351961,0.120099283890103,60.122796835385,-0.0101,0.0401,481.5107,872.0854
"55","R-003_Plot-033","2022-02-14","30m","HONDIA","35","R3",303,0.27672184,29.721754,0.11304146,30.516586,-0.031634986,10.684791,4.82819,10.957541,0.0179893006624719,0.00151527750829245,91.5767847971238,-0.0565,0.0096,192.985,640.3298
"56","R-003_Plot-033","2022-05-03","50m","HONDIA","35","R3",303,0.24953675,138.2145,0.22656763,31.898716,-19.286072,14.145319,-16.48332,17.41676,0.987598306110103,0.968050514216576,1.97932618683001,0.2796,0.2834,2547.634,2564.4539
"57","R-003_Plot-033","2022-03-09","30m","HONDIA","35","R3",303,0.31907043,40.894646,0.10505468,35.551064,-2.1059453,11.935527,2.968036,13.215988,0.196173000341861,0.0607958902717336,69.0090429540317,-0.0249,0.0309,453.6613,900.4491
"58","R-003_Plot-033","2022-02-14","15m","HONDIA","35","R3",303,0.28360927,31.121685,0.105176926,31.295977,-0.45997894,10.528703,4.27381,10.991863,0.0391450104141367,0.00563393757405813,85.6075205640423,-0.0496,0.0128,214.5051,516.7805
"59","R-003_Plot-033","2022-02-02","30m","HONDIA","35","R3",303,0.344036,29.39222,0.09064078,37.79419,-0.49773246,11.228298,4.8607755,12.512667,0.00363636363636364,0.000212652844231792,94.1520467836257,-0.0452,0.0036,184.7388,441.1671
"60","R-003_Plot-033","2022-03-22","50m","HONDIA","35","R3",303,0.3230758,34.632042,0.1128912,35.854,-0.9714554,12.265874,4.59811,13.385889,0.0991001209921355,0.0135359951603146,86.34109118657,-0.0399,0.0192,350.8738,808.5406
"61","R-003_Plot-040","2022-02-14","15m","BOLOGNA","35","R3",310,0.2933282,33.753803,0.114227116,32.53389,-0.7874521,11.441662,4.3106947,12.088893,0.0352535087912978,0.00422453320380061,88.0167014613779,-0.0465,0.0131,302.5458,663.8369
"62","R-003_Plot-040","2022-04-19","50m","BOLOGNA","35","R3",310,0.25656027,50.021255,0.2157464,29.8692,-3.3416018,16.397886,2.8519702,16.404041,0.41360405323654,0.189995462794918,54.0634427278545,-0.0113,0.0657,1020.6917,1450.6605
"63","R-003_Plot-040","2022-02-02","30m","BOLOGNA","35","R3",310,0.351699,28.590994,0.10599589,38.69002,0.09149345,12.322241,6.1869464,13.627255,0.000850611376927166,0,100,-0.0539,0.0032,198.3423,537.1875
