"","OOB","X35","X70","X140","X280","X560","date","alt","PC","mtry"
"110",0.333333333333333,0.1,0.222222222222222,0.444444444444444,0.5,0.4,"2022-04-19","50m",3,1
"111",0.1875,0,0,0.0833333333333333,0.75,0.2,"2022-04-05","50m",0,4
"112",0.270833333333333,0,0,0,0.875,0.6,"2022-04-05","50m",4,2
"113",0.743055555555556,0.615384615384615,0.833333333333333,0.65625,0.862068965517241,0.740740740740741,"2022-05-26","15-30-50m",0,4
"114",0.854166666666667,0.884615384615385,0.933333333333333,0.71875,0.931034482758621,0.814814814814815,"2022-05-26","15-30-50m",3,1
"115",0.75,0.363636363636364,0.777777777777778,0.75,0.9,1,"2022-05-26","50m",0,4
"116",0.833333333333333,0.636363636363636,0.888888888888889,0.75,0.9,1,"2022-05-26","50m",3,1
"117",0.729166666666667,0.583333333333333,0.8,0.666666666666667,1,0.7,"2022-05-26","15m",0,4
"118",0.791666666666667,0.666666666666667,1,0.666666666666667,1,0.7,"2022-05-26","15m",3,1
"119",0.75,0.75,0.666666666666667,0.8,0.777777777777778,0.777777777777778,"2022-05-26","30m",0,4
"120",0.854166666666667,0.75,1,0.7,0.777777777777778,1,"2022-05-26","30m",3,1
"121",0.4375,0.611111111111111,0.65,0.368421052631579,0.421052631578947,0.15,"2022-02-14","15-30m",0,4
"122",0.489583333333333,0.611111111111111,0.75,0.526315789473684,0.315789473684211,0.25,"2022-02-14","15-30m",3,1
"123",0.416666666666667,0.727272727272727,0.583333333333333,0.2,0.428571428571429,0,"2022-02-14","15m",0,4
"124",0.645833333333333,0.727272727272727,0.666666666666667,0.8,0.857142857142857,0.125,"2022-02-14","15m",3,1
"125",0.4375,0.75,0.5,0.545454545454545,0.333333333333333,0,"2022-02-14","30m",0,4
"126",0.666666666666667,0.875,0.916666666666667,0.727272727272727,0.444444444444444,0.25,"2022-02-14","30m",3,1
"127",0.59375,0.75,0.9,0.5,0.611111111111111,0.166666666666667,"2022-02-03","15-30m",0,4
"128",0.552083333333333,0.8,0.7,0.65,0.444444444444444,0.111111111111111,"2022-02-03","15-30m",3,1
"129",0.520833333333333,0.545454545454545,0.875,0.363636363636364,0.777777777777778,0.111111111111111,"2022-02-03","30m",0,4
