"","X","dens","altitude","date","pval"
"116","Saturation",0.183737251543856,"30m","2022-02-03",0.159938139438024
"117","Lightness",-0.835335591372963,"30m","2022-02-03",0
"118","a.",-0.464106687232999,"30m","2022-02-03",0.00018763449027337
"119","b.",-0.310992310946453,"30m","2022-02-03",0.0155817760024781
"120","u.",-0.504256679237027,"30m","2022-02-03",3.99321440456291e-05
"121","v.",-0.540323621206747,"30m","2022-02-03",8.3456099235768e-06
"122","GA",0.787348148282376,"30m","2022-02-03",8.59312621059871e-14
"123","GGA",0.68747057624391,"30m","2022-02-03",1.30329569358878e-09
"124","CSI",-0.355537873185584,"30m","2022-02-03",0.00530723819313383
"125","NGRDI",0.394036225903101,"30m","2022-02-03",0.00183904434908166
"126","NGRDIveg",0.507197196899153,"30m","2022-02-03",3.53782680866388e-05
"127","TGI",0.578432088193621,"30m","2022-02-03",1.29544304705576e-06
"128","TGIveg",0.184417759882907,"30m","2022-02-03",0.158369839522696
"129","dens",1,"30m","2022-02-14",NA
"130","Intensity",-0.813887973505377,"30m","2022-02-14",2.66453525910038e-15
"131","Hue",0.692757489154243,"30m","2022-02-14",8.63872084977402e-10
"132","Saturation",-0.0122491501029237,"30m","2022-02-14",0.925991725183376
"133","Lightness",-0.798247371633797,"30m","2022-02-14",2.19824158875781e-14
"134","a.",-0.572988021481211,"30m","2022-02-14",1.71496601675258e-06
"135","b.",-0.288535535757759,"30m","2022-02-14",0.0253677770906739
"136","u.",-0.532157521138131,"30m","2022-02-14",1.20851842457803e-05
"137","v.",-0.413749070143202,"30m","2022-02-14",0.00101598429500394
"138","GA",0.719977822716295,"30m","2022-02-14",8.98021657036452e-11
"139","GGA",0.757086563512509,"30m","2022-02-14",2.57660559555006e-12
"140","CSI",-0.690035455798037,"30m","2022-02-14",1.06873754290859e-09
"141","NGRDI",0.54034614235442,"30m","2022-02-14",8.33698092694846e-06
"142","NGRDIveg",0.82896281258819,"30m","2022-02-14",4.44089209850063e-16
"143","TGI",0.832261698659763,"30m","2022-02-14",2.22044604925031e-16
"144","TGIveg",0.219123685174525,"30m","2022-02-14",0.0925434638610936
"145","dens",1,"30m","2022-03-09",NA
"146","Intensity",-0.94930913297659,"30m","2022-03-09",0
"147","Hue",0.961558283079514,"30m","2022-03-09",0
"148","Saturation",0.58319564656698,"30m","2022-03-09",1.00923200196945e-06
"149","Lightness",-0.946600250590461,"30m","2022-03-09",0
"150","a.",-0.954753199689,"30m","2022-03-09",0
"151","b.",-0.242264334442994,"30m","2022-03-09",0.0621836578408272
"152","u.",-0.962238791418565,"30m","2022-03-09",0
"153","v.",-0.569585479785954,"30m","2022-03-09",2.03844767554529e-06
"154","GA",0.96496082477477,"30m","2022-03-09",0
"155","GGA",0.95951675806236,"30m","2022-03-09",0
"156","CSI",-0.93910150789082,"30m","2022-03-09",0
"157","NGRDI",0.959189829767976,"30m","2022-03-09",0
"158","NGRDIveg",0.945592611236522,"30m","2022-03-09",0
"159","TGI",0.942504049586077,"30m","2022-03-09",0
"160","TGIveg",0.837025257033122,"30m","2022-03-09",0
"161","dens",1,"30m","2022-05-26",NA
"162","Intensity",-0.265398252230014,"30m","2022-05-26",0.0404198436781589
"163","Hue",0.0163322001372317,"30m","2022-05-26",0.901429567060826
"164","Saturation",0.362030436375302,"30m","2022-05-26",0.0044776309505985
"165","Lightness",-0.223216038655226,"30m","2022-05-26",0.0864633154176233
"166","a.",-0.0462745670554897,"30m","2022-05-26",0.725521392394627
"167","b.",0.0142906751200777,"30m","2022-05-26",0.913700611914784
"168","u.",0.0285813502401554,"30m","2022-05-26",0.828381933831775
"169","v.",-0.0415110086821305,"30m","2022-05-26",0.752826431488114
"170","GA",0.315079738334568,"30m","2022-05-26",0.0142038671051488
"171","GGA",0.202110976698242,"30m","2022-05-26",0.121467754047857
"172","CSI",-0.189181318256267,"30m","2022-05-26",0.147707906356209
"173","NGRDI",0.125894042724494,"30m","2022-05-26",0.337821818610398
"174","NGRDIveg",0.106160775767155,"30m","2022-05-26",0.419491023115458
"175","TGI",0.13406014279311,"30m","2022-05-26",0.307159775739721
"176","TGIveg",0.118408450994929,"30m","2022-05-26",0.367551375393067
"177","dens",1,"50m","2022-03-22",NA
"178","Intensity",-0.970404891487181,"50m","2022-03-22",0
"179","Hue",0.964280316435719,"50m","2022-03-22",0
"180","Saturation",0.5675439547688,"50m","2022-03-22",2.25904408845956e-06
"181","Lightness",-0.969737855565354,"50m","2022-03-22",0
"182","a.",-0.954072691349949,"50m","2022-03-22",0
