"","variable","altitude","date","norm_pvalue","homo_pvalue"
"187","u.","30m","2022-05-26","0.0172412405494206","0.634833143453206"
"188","v.","30m","2022-05-26","0.0264240505221204","0.129869753065581"
"189","GA","30m","2022-05-26","3.24805046430526e-12","0.264181989254027"
"190","GGA","30m","2022-05-26","8.62175803966457e-08","0.0110228741794974"
"191","CSI","30m","2022-05-26","3.09754267308204e-08","0.00301851407570264"
"192","NGRDI","30m","2022-05-26","0.272723347719167","0.238340381654209"
"193","NGRDIveg","30m","2022-05-26","0.149401994105018","0.158833224064811"
"194","TGI","30m","2022-05-26","0.163723397438809","0.0271665135142731"
"195","TGIveg","30m","2022-05-26","0.714567611358503","0.0699649155763002"
"196","Intensity","30m","2022-01-19","0.902339832038529","0.157768318891557"
"197","Hue","30m","2022-01-19","0.0978512619119618","0.770649704229057"
"198","Saturation","30m","2022-01-19","0.341148575277044","0.935110159907213"
"199","Lightness","30m","2022-01-19","0.847467181235675","0.16312318986442"
"200","a.","30m","2022-01-19","0.0750622455379771","0.670939075934177"
"201","b.","30m","2022-01-19","0.0140624824232819","0.559464852381362"
"202","u.","30m","2022-01-19","0.00732595823985013","0.479298576144739"
"203","v.","30m","2022-01-19","0.0149747300953985","0.400302828486075"
"204","GA","30m","2022-01-19","3.36011703363623e-07","0.00340117867029311"
"205","GGA","30m","2022-01-19","1.89195161986347e-13","0.506837232184074"
"206","CSI","30m","2022-01-19","2.52401154256611e-13","0.592274695000104"
"207","NGRDI","30m","2022-01-19","0.0269465822158351","0.337514898134443"
"208","NGRDIveg","30m","2022-01-19","5.94666112544103e-16","0.486428796228528"
"209","TGI","30m","2022-01-19","0.486695955213346","0.887298608628679"
"210","TGIveg","30m","2022-01-19","2.94777980958599e-08","0.389279386348581"
"211","Intensity","30m","2022-02-14","0.937607346824039","0.349389750316681"
"212","Hue","30m","2022-02-14","1.05242475288304e-06","0.933367583079878"
"213","Saturation","30m","2022-02-14","0.000506038298252562","0.985821629693825"
"214","Lightness","30m","2022-02-14","0.933664210758286","0.365041401966505"
"215","a.","30m","2022-02-14","0.468685653989328","0.972112330162957"
"216","b.","30m","2022-02-14","0.00953235072089347","0.996155427945389"
"217","u.","30m","2022-02-14","0.599182517125111","0.991174865638935"
"218","v.","30m","2022-02-14","0.0224878179484111","0.997540431199833"
"219","GA","30m","2022-02-14","2.17582910659616e-08","0.873391988013833"
"220","GGA","30m","2022-02-14","1.74250898152591e-12","0.436212396389797"
"221","CSI","30m","2022-02-14","8.28419565684402e-06","0.784907831289977"
"222","NGRDI","30m","2022-02-14","0.080910084422279","0.996885003743078"
"223","NGRDIveg","30m","2022-02-14","0.000198651832633294","0.334302384777092"
"224","TGI","30m","2022-02-14","0.601142320958606","0.527063713344455"
"225","TGIveg","30m","2022-02-14","0.251448026411002","0.91763131976382"
"226","Intensity","30m","2022-03-09","0.00385826160225503","0.158396825996879"
"227","Hue","30m","2022-03-09","7.17965636425487e-05","0.0053554891031325"
"228","Saturation","30m","2022-03-09","0.0492731900974702","0.826658902015375"
"229","Lightness","30m","2022-03-09","0.00741380659455031","0.298675917469538"
"230","a.","30m","2022-03-09","0.000167051617772793","0.119439880657965"
"231","b.","30m","2022-03-09","0.0213995110460566","0.84123042051992"
"232","u.","30m","2022-03-09","0.000184342503072705","0.191606069258206"
"233","v.","30m","2022-03-09","0.015158749949578","0.810004469243282"
"234","GA","30m","2022-03-09","1.21232748693733e-05","0.023686046686187"
"235","GGA","30m","2022-03-09","2.82825796783694e-06","0.00216768165209198"
"236","CSI","30m","2022-03-09","0.000127753435772221","0.411606505851789"
"237","NGRDI","30m","2022-03-09","1.72213986841366e-05","3.07533390833379e-05"
"238","NGRDIveg","30m","2022-03-09","2.89059812830629e-06","1.78621808889166e-05"
"239","TGI","30m","2022-03-09","0.000239193262409011","0.291281532791176"
"240","TGIveg","30m","2022-03-09","0.000343791353332522","0.544123978444984"
