"","variable","date","Altitude","norm_pvalue","homo_pvalue"
"125","a.",2022-02-14,"30m","0.578637996684362","0.972112330162957"
"126","b.",2022-02-14,"30m","0.408742289727398","0.996155427945389"
"127","u.",2022-02-14,"30m","0.637986177182544","0.991174865638935"
"128","v.",2022-02-14,"30m","0.389713301378299","0.997540431199833"
"129","GA",2022-02-14,"30m","0.000323331047758262","0.873391987887666"
"130","GGA",2022-02-14,"30m","6.08695302176316e-08","0.436212397042254"
"131","CSI",2022-02-14,"30m","0.245746314234831","0.784907830701977"
"132","NGRDI",2022-02-14,"30m","0.05871729148626","0.996885003743078"
"133","NGRDIveg",2022-02-14,"30m","0.168453894684439","0.334302384777092"
"134","TGI",2022-02-14,"30m","0.607929996307917","0.527063713344455"
"135","TGIveg",2022-02-14,"30m","0.885772930519276","0.91763131976382"
"136","Intensity",2022-03-09,"30m","0.00887971022535519","0.158396825996879"
"137","Hue",2022-03-09,"30m","0.796208876481399","0.0053554891031325"
"138","Saturation",2022-03-09,"30m","0.0278820952148673","0.826658902015375"
"139","Lightness",2022-03-09,"30m","0.0281897472040716","0.298675917469538"
"140","a.",2022-03-09,"30m","0.561667757875293","0.119439880657965"
"141","b.",2022-03-09,"30m","0.179381280006484","0.84123042051992"
"142","u.",2022-03-09,"30m","0.804122866791101","0.191606069258206"
"143","v.",2022-03-09,"30m","0.750128920117228","0.810004469243282"
"144","GA",2022-03-09,"30m","0.0207465753336328","0.0236860461764749"
"145","GGA",2022-03-09,"30m","0.18501280887951","0.00216768168404315"
"146","CSI",2022-03-09,"30m","0.685641057691779","0.411606505620827"
"147","NGRDI",2022-03-09,"30m","0.240400790948614","3.07533390833379e-05"
"148","NGRDIveg",2022-03-09,"30m","0.696663058252403","1.78621808889166e-05"
"149","TGI",2022-03-09,"30m","0.233979117855715","0.291281532791176"
"150","TGIveg",2022-03-09,"30m","0.109539709613433","0.544123978444984"
"151","Intensity",2022-05-26,"30m","0.289143659997389","0.468018394751622"
"152","Hue",2022-05-26,"30m","0.978337627897566","0.104487122828558"
"153","Saturation",2022-05-26,"30m","0.828528569874317","0.189045566978141"
"154","Lightness",2022-05-26,"30m","0.308757621878184","0.450421200644583"
"155","a.",2022-05-26,"30m","0.231960995871645","0.382347662981534"
"156","b.",2022-05-26,"30m","0.421294847075911","0.0640285529063466"
"157","u.",2022-05-26,"30m","0.156522716368074","0.634833143453206"
"158","v.",2022-05-26,"30m","0.797750079656607","0.129869753065581"
"159","GA",2022-05-26,"30m","2.8186688394959e-07","0.264181992130575"
"160","GGA",2022-05-26,"30m","0.00842082818062266","0.01102287428263"
"161","CSI",2022-05-26,"30m","0.0023718840518769","0.00301851408280925"
"162","NGRDI",2022-05-26,"30m","0.561583435024161","0.238340381654209"
"163","NGRDIveg",2022-05-26,"30m","0.435663477494228","0.158833224064811"
"164","TGI",2022-05-26,"30m","0.117877551843708","0.0271665135142731"
"165","TGIveg",2022-05-26,"30m","0.399991761756833","0.0699649155763002"
"166","Intensity",2022-01-19,"15m","0.558507166926234","0.477755831684749"
"167","Hue",2022-01-19,"15m","0.102988537396852","0.964041251796264"
"168","Saturation",2022-01-19,"15m","0.0718625298087056","0.98908596028321"
"169","Lightness",2022-01-19,"15m","0.240065353420252","0.392864935923486"
"170","a.",2022-01-19,"15m","0.174155185773388","0.948742952468067"
"171","b.",2022-01-19,"15m","0.0184716614315124","0.930481465539813"
"172","u.",2022-01-19,"15m","0.710091690936145","0.946432340033273"
"173","v.",2022-01-19,"15m","0.0359680884932863","0.71528533409218"
"174","GA",2022-01-19,"15m","0.0784744377973948","0.432205576949646"
"175","GGA",2022-01-19,"15m","0.0227288697294786","0.00461642877292758"
"176","CSI",2022-01-19,"15m","0.162940440496869","0.48745272470312"
"177","NGRDI",2022-01-19,"15m","0.594978494281667","0.958445528219488"
"178","NGRDIveg",2022-01-19,"15m","7.32574778896526e-06","0.198861958749499"
"179","TGI",2022-01-19,"15m","0.487122465232395","0.820165579924227"
"180","TGIveg",2022-01-19,"15m","0.747874319847671","0.691969732251422"
"181","Intensity",2022-03-09,"15m","0.779961413388693","0.065692713182876"
"182","Hue",2022-03-09,"15m","0.237987774495793","0.658657754677155"
"183","Saturation",2022-03-09,"15m","0.0936229593440918","0.597997004523134"
"184","Lightness",2022-03-09,"15m","0.928497297083439","0.047990974178697"
"185","a.",2022-03-09,"15m","0.180878371374442","0.948026255382406"
"186","b.",2022-03-09,"15m","0.356834546417087","0.246006241309751"
"187","u.",2022-03-09,"15m","0.10333517758412","0.949221583656246"
"188","v.",2022-03-09,"15m","0.0766790227925591","0.027497008401603"
"189","GA",2022-03-09,"15m","0.801597327626806","0.892199327776845"
"190","GGA",2022-03-09,"15m","0.691566559025593","0.359626450713915"
"191","CSI",2022-03-09,"15m","0.963627981773693","0.0234339206192089"
"192","NGRDI",2022-03-09,"15m","0.942250271024559","0.0276767327809984"
"193","NGRDIveg",2022-03-09,"15m","0.84283572066639","0.00109325721931612"
"194","TGI",2022-03-09,"15m","0.1687907001591","0.974763625553231"
"195","TGIveg",2022-03-09,"15m","0.483182776771033","0.514065476529556"
"196","Intensity",2022-02-03,"15m","0.990871067111619","0.906915684103445"
"197","Hue",2022-02-03,"15m","0.0551807355671868","0.115868044917809"
"198","Saturation",2022-02-03,"15m","0.593905928561369","0.299458321579418"
"199","Lightness",2022-02-03,"15m","0.995080105517335","0.892100021880148"
"200","a.",2022-02-03,"15m","0.812673612095809","0.511887541682398"
"201","b.",2022-02-03,"15m","0.179317990375251","0.319324930030788"
"202","u.",2022-02-03,"15m","0.528473391218002","0.664119578707264"
"203","v.",2022-02-03,"15m","0.176462288195231","0.774555072872322"
"204","GA",2022-02-03,"15m","1.74048545164147e-06","0.0778388740886525"
"205","GGA",2022-02-03,"15m","2.30694814776189e-08","0.0149536615519388"
"206","CSI",2022-02-03,"15m","0.188092088447904","0.0191487992911992"
"207","NGRDI",2022-02-03,"15m","0.515523615003449","0.690906498767508"
"208","NGRDIveg",2022-02-03,"15m","0.0532500118448265","0.222629827576115"
"209","TGI",2022-02-03,"15m","0.880126348279844","0.0959245672961348"
"210","TGIveg",2022-02-03,"15m","0.389852041602981","0.525218513451378"
"211","Intensity",2022-02-14,"15m","0.4773487065827","0.863594315116632"
"212","Hue",2022-02-14,"15m","0.251838179202715","0.332308343624625"
"213","Saturation",2022-02-14,"15m","0.615989244590078","0.604967452939259"
"214","Lightness",2022-02-14,"15m","0.393712217752429","0.90716545939238"
"215","a.",2022-02-14,"15m","0.0425340120946652","0.910108290294064"
"216","b.",2022-02-14,"15m","0.147487092760516","0.994055103935061"
"217","u.",2022-02-14,"15m","0.0949758918000553","0.925709091593627"
"218","v.",2022-02-14,"15m","0.298477438121168","0.942336396546086"
"219","GA",2022-02-14,"15m","0.0788976591865686","0.142761998179776"
"220","GGA",2022-02-14,"15m","1.83988912147726e-05","0.0558295508374862"
"221","CSI",2022-02-14,"15m","0.357324283286685","0.921899669951762"
"222","NGRDI",2022-02-14,"15m","0.071851390339349","0.918089768241745"
"223","NGRDIveg",2022-02-14,"15m","0.42016734193466","0.503093654895514"
"224","TGI",2022-02-14,"15m","0.336652533321157","0.914530991980368"
"225","TGIveg",2022-02-14,"15m","0.0914831113322048","0.519828110345768"
"226","Intensity",2022-05-26,"15m","0.803272357227893","0.183581639186148"
"227","Hue",2022-05-26,"15m","0.778912495170943","0.444142242512528"
"228","Saturation",2022-05-26,"15m","0.316409413369242","0.121165101478153"
"229","Lightness",2022-05-26,"15m","0.501510043654001","0.220072054550383"
"230","a.",2022-05-26,"15m","0.0507244695924266","0.70654764809504"
"231","b.",2022-05-26,"15m","0.363822227713164","0.167321224730311"
"232","u.",2022-05-26,"15m","0.0734714297783238","0.637509201895092"
"233","v.",2022-05-26,"15m","0.538209172635886","0.202786800492635"
"234","GA",2022-05-26,"15m","3.46177404186441e-07","0.329940755138064"
"235","GGA",2022-05-26,"15m","0.0093748495860742","0.0335059851004893"
"236","CSI",2022-05-26,"15m","0.00103035832598833","0.0221798529076175"
"237","NGRDI",2022-05-26,"15m","0.702950818276514","0.209521229436824"
"238","NGRDIveg",2022-05-26,"15m","0.646915388664365","0.196067148433697"
"239","TGI",2022-05-26,"15m","0.805637154511696","0.854125441036993"
"240","TGIveg",2022-05-26,"15m","0.887120392505396","0.790163537873202"
