"","cp","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"1035",0.001,0.616161616,0.50868907,0.103623871,0.127760925,0.833333333,0.019287109,0.76,0,"05/04/2022","50m",5,20,"cv520","8020split"
"1036",0.001,0.675969697,0.580864697,0.047026694,0.054795499,0.416666667,0.806152344,0.31147541,4,"05/04/2022","50m",5,20,"cv520","8020split"
"1037",0.001,0.282356322,0.102353365,0.081030331,0.100539787,0.222222222,0.710294158,0.040913416,0,"26/05/2022","15-30-50m",5,20,"cv520","8020split"
"1038",0.001,0.235604178,0.043083459,0.065171511,0.081560131,0.166666667,0.916533452,-0.024667932,3,"26/05/2022","15-30-50m",5,20,"cv520","8020split"
"1039",0.001,0.324964646,0.147449779,0.137968955,0.167197135,0,1,-0.210084034,0,"26/05/2022","50m",5,20,"cv520","8020split"
"1040",0.001,0.358462121,0.192615046,0.116294504,0.145765452,0.083333333,0.992292653,-0.128205128,3,"26/05/2022","50m",5,20,"cv520","8020split"
"1041",0.001,0.212227273,0.003893316,0.128906595,0.152842388,0.166666667,0.985141386,0.083969466,0,"26/05/2022","15m",5,20,"cv520","8020split"
"1042",0.001,0.29159596,0.106866295,0.12897838,0.163390708,0,1,-0.274336283,3,"26/05/2022","15m",5,20,"cv520","8020split"
"1043",0.001,0.162878788,-0.046227139,0.106332848,0.135402469,0.166666667,0.946048574,-0.061946903,0,"26/05/2022","30m",5,20,"cv520","8020split"
"1044",0.001,0.215126263,0.016072207,0.107360149,0.137812464,0.166666667,0.946048574,-0.111111111,3,"26/05/2022","30m",5,20,"cv520","8020split"
"1045",0.001,0.519765296,0.397785804,0.123097587,0.155480426,0.375,0.405533926,0.205298013,0,"14/02/2022","15-30m",5,20,"cv520","8020split"
"1046",0.001,0.440795911,0.299229177,0.105550227,0.132919059,0.625,0.003229781,0.513513514,3,"14/02/2022","15-30m",5,20,"cv520","8020split"
"1047",0.001,0.514222222,0.396313789,0.114493738,0.138724651,0.5,0.177722456,0.368421053,0,"14/02/2022","15m",5,20,"cv520","8020split"
"1048",0.001,0.49809596,0.37193874,0.117666189,0.144284012,0.666666667,0.018758432,0.582608696,3,"14/02/2022","15m",5,20,"cv520","8020split"
"1049",0.001,0.563479798,0.446607742,0.121825302,0.152118568,0.5,0.177722456,0.357142857,0,"14/02/2022","30m",5,20,"cv520","8020split"
"1050",0.001,0.32219697,0.140540032,0.119350558,0.146995088,0.166666667,0.946048574,-0.132075472,3,"14/02/2022","30m",5,20,"cv520","8020split"
"1051",0.001,0.383105705,0.228147169,0.095522523,0.120169051,0.25,0.577844798,0.054704595,0,"03/02/2022","15-30m",5,20,"cv520","8020split"
"1052",0.001,0.345757482,0.183018079,0.105109888,0.129435398,0.458333333,0.021338242,0.333333333,3,"03/02/2022","15-30m",5,20,"cv520","8020split"
"1053",0.001,0.465799423,0.323634864,0.124027186,0.152485934,0.416666667,0.157643676,0.282051282,0,"03/02/2022","30m",5,20,"cv520","8020split"
"1054",0.001,0.324474026,0.15020604,0.102638197,0.12726553,0.333333333,0.351221383,0.157894737,3,"03/02/2022","30m",5,20,"cv520","8020split"
"1055",0.001,0.450020202,0.31364958,0.111181824,0.134954841,0.666666667,0.00278151,0.571428571,0,"03/02/2022","15m",5,20,"cv520","8020split"
"1056",0.001,0.44764899,0.312573955,0.100033526,0.119667418,0.5,0.054402232,0.357142857,3,"03/02/2022","15m",5,20,"cv520","8020split"
"1057",0.001,0.453277778,0.318147755,0.091712467,0.113197031,0.416666667,0.157643676,0.256637168,0,"03/05/2022","50m",5,20,"cv520","8020split"
"1058",0.001,0.353055556,0.193547903,0.108631493,0.13817288,0.333333333,0.351221383,0.142857143,3,"03/05/2022","50m",5,20,"cv520","8020split"
"1059",0.001,0.326330409,0.156520112,0.082272302,0.103308953,0.208333333,0.871612155,-0.004405286,0,"19/01/2022","15-30m",5,20,"cv520","8020split"
"1060",0.001,0.278285763,0.094585007,0.090765385,0.113541834,0.166666667,0.949356821,-0.061946903,4,"19/01/2022","15-30m",5,20,"cv520","8020split"
"1061",0.001,0.392881313,0.233339066,0.115734787,0.147469612,0.416666667,0.368479286,0.288135593,0,"19/01/2022","30m",5,20,"cv520","8020split"
"1062",0.001,0.289045455,0.108108405,0.096169641,0.119840983,0.333333333,0.606925322,0.127272727,4,"19/01/2022","30m",5,20,"cv520","8020split"
"1063",0.001,0.449121212,0.306460686,0.11167939,0.138150841,0.333333333,0.606925322,0.172413793,0,"19/01/2022","15m",5,20,"cv520","8020split"
"1064",0.001,0.35195202,0.185345889,0.101771299,0.122528322,0.25,0.818877354,0,4,"19/01/2022","15m",5,20,"cv520","8020split"
"1065",0.001,0.622474397,0.527477592,0.088160002,0.110045613,0.666666667,2.02e-05,0.578021978,0,"09/03/2022","15-30m",5,20,"cv520","8020split"
"1066",0.001,0.635053614,0.542813752,0.087185115,0.108930959,0.75,3.89e-07,0.684901532,3,"09/03/2022","15-30m",5,20,"cv520","8020split"
"1067",0.001,0.640737374,0.533968731,0.075998604,0.095354955,0.25,0.995970465,0.12195122,0,"09/03/2022","15m",5,20,"cv520","8020split"
"1068",0.001,0.593646465,0.472014218,0.068629572,0.086416273,0.25,0.995970465,0.12195122,2,"09/03/2022","15m",5,20,"cv520","8020split"
"1069",0.001,0.525833333,0.401959712,0.080122723,0.097546735,0.5,0.379768823,0.327102804,0,"09/03/2022","30m",5,20,"cv520","8020split"
"1070",0.001,0.493431818,0.367098885,0.064170515,0.076759596,0.666666667,0.072628882,0.538461538,2,"09/03/2022","30m",5,20,"cv520","8020split"
"1071",0.001,0.269815657,0.077450062,0.087678284,0.107458938,0.25,0.818877354,0.107438017,0,"02/06/2022","50m",5,20,"cv520","8020split"
"1072",0.001,0.154727273,-0.068804584,0.097123438,0.113933743,0.166666667,0.946048574,0.0625,2,"02/06/2022","50m",5,20,"cv520","8020split"
"1073",0.001,0.606328283,0.493771486,0.098784596,0.125701068,0.416666667,0.806152344,0.34375,0,"22/03/2022","50m",5,20,"cv520","8020split"
"1074",0.001,0.640505051,0.538082089,0.052061221,0.06387462,0.416666667,0.806152344,0.34375,3,"22/03/2022","50m",5,20,"cv520","8020split"
"1075",0.001,0.555401515,0.443085894,0.162172342,0.200221381,0.833333333,0.000543804,0.785714286,0,"19/04/2022","50m",5,20,"cv520","8020split"
