"","ID","N","mean_accuracy","sd_accuracy","mean_kappa","sd_kappa","lsmean","SE","df","lower.CL","upper.CL"
"31","09/03/2022_15m_PC_cv520_8020split",10,0.5463775253,0.040543096300692,0.4295313025,0.0439271628811642,0.553305275,0.0166785161922733,507,0.520537761106472,0.586072788893528
"32","09/03/2022_15m_PC_trainonly_nosplit",10,0.7542813494,0.00679535452349618,0.6888462316,0.00824233653039901,0.7542813494,0.0158226297478747,507,0.723195356250572,0.785367342549428
"33","09/03/2022_15m_var_cv1010_8020split",10,0.5622452381,0.060002174215519,0.4469115925,0.0738240154893164,0.5622452381,0.0158226297478746,507,0.531159244950572,0.593331231249427
"34","09/03/2022_15m_var_cv510_8020split",10,0.5526196247,0.049008320584375,0.4346914197,0.0577466054058133,0.559855138555556,0.0166785161922732,507,0.527087624662029,0.592622652449084
"35","09/03/2022_15m_var_cv520_8020split",10,0.5560085497,0.0415550479592906,0.4402134616,0.0468745386117824,0.5560085497,0.0158226297478747,507,0.524922556550572,0.587094542849428
"36","09/03/2022_15m_var_trainonly_nosplit",10,0.7289309525,0.0101599564588009,0.6575809209,0.0126775388508498,0.728930952500001,0.0158226297478748,507,0.697844959350573,0.760016945649429
"37","09/03/2022_30m_PC_cv1010_8020split",10,0.588647619,0.0524703552628931,0.4741387281,0.066312787898167,0.598626984111111,0.0166785161922732,507,0.565859470217584,0.631394498004639
"38","09/03/2022_30m_PC_cv510_8020split",10,0.5745756853,0.0329744404119949,0.4606704391,0.0414393310634301,0.5745756853,0.0158226297478747,507,0.543489692150572,0.605661678449428
"39","09/03/2022_30m_PC_cv520_8020split",10,0.5822939754,0.0487330163925664,0.4694264797,0.05843782671764,0.592167548444445,0.0166785161922733,507,0.559400034550917,0.624935062337973
"40","09/03/2022_30m_PC_trainonly_nosplit",10,0.7818162697,0.00660526322512729,0.7239078499,0.00867942433091812,0.7818162697,0.0158226297478747,507,0.750730276550572,0.812902262849428
"41","09/03/2022_30m_var_cv1010_8020split",10,0.5522761904,0.0443306921512724,0.4292278545,0.0526993026806897,0.563177248555555,0.0166785161922733,507,0.530409734662028,0.595944762449083
"42","09/03/2022_30m_var_cv510_8020split",10,0.5420598126,0.0333277005725295,0.4192517643,0.0420527515583535,0.549446929777778,0.0166785161922733,507,0.51667941588425,0.582214443671306
"43","09/03/2022_30m_var_cv520_8020split",10,0.5531760822,0.0313827932496372,0.4322082341,0.0340159042563276,0.560729597555556,0.0166785161922734,507,0.527962083662028,0.593497111449084
"44","09/03/2022_30m_var_trainonly_nosplit",10,0.7312658731,0.00774153139847977,0.660795295,0.00928451068923124,0.7312658731,0.0158226297478747,507,0.700179879950572,0.762351866249428
"45","14/02/2022_15-30m_PC_cv1010_8020split",10,0.4575139251,0.0356536110695133,0.3204228075,0.0441655647339638,0.503241883,0.0353804756990584,507,0.433731489169786,0.572752276830214
"46","14/02/2022_15-30m_var_cv1010_8020split",10,0.4714009019,0.0382390033977354,0.3373626992,0.0473036299264693,0.53752399,0.0353804756990584,507,0.468013596169786,0.607034383830214
"47","14/02/2022_15-30m_var_cv510_8020split",10,0.4590156323,0.0338293372120543,0.3205903795,0.0431685623001873,0.515791291999999,0.0500355485768203,507,0.417488750319415,0.614093833680583
"48","14/02/2022_15-30m_var_cv520_8020split",10,0.4564339785,0.033607747331563,0.319287582,0.0418245589820993,0.519765296000001,0.0500355485768199,507,0.421462754319417,0.618067837680584
"49","14/02/2022_15-30m_var_trainonly_nosplit",10,0.5138204961,0.00721156885429323,0.3908686526,0.00919453585920344,0.5138204961,0.0158226297478748,507,0.482734502950572,0.544906489249428
"50","14/02/2022_15m_PC_cv1010_8020split",10,0.4609238097,0.0608013782828219,0.3184731223,0.0786471705433416,0.533555555666665,0.028888037439877,507,0.476800556765357,0.590310554567973
"51","14/02/2022_15m_PC_cv510_8020split",10,0.4578090909,0.0556330776097806,0.3186129694,0.0681643644528788,0.51439772725,0.0250177742884101,507,0.465246456409708,0.563548998090292
"52","14/02/2022_15m_PC_cv520_8020split",10,0.4503127344,0.0390994945479084,0.3088238416,0.0487501781857397,0.505164141,0.0500355485768202,507,0.406861599319416,0.603466682680583
"53","14/02/2022_15m_PC_trainonly_nosplit",10,0.5845250002,0.0100003608754684,0.4793240607,0.011744202196614,0.5845250002,0.0158226297478747,507,0.553439007050572,0.615610993349428
"54","14/02/2022_15m_var_cv1010_8020split",10,0.5730047619,0.0583415887571123,0.4626399066,0.0713087909341317,0.5730047619,0.0158226297478747,507,0.541918768750572,0.604090755049428
"55","14/02/2022_15m_var_cv510_8020split",10,0.6007358586,0.0779670425409532,0.4975791965,0.0967646766986309,0.612328282888889,0.0166785161922734,507,0.579560768995361,0.645095796782417
"56","14/02/2022_15m_var_cv520_8020split",10,0.5546773087,0.0407800159235888,0.4401609938,0.0503638108011873,0.561786515888889,0.0166785161922734,507,0.529019001995361,0.594554029782417
"57","14/02/2022_15m_var_trainonly_nosplit",10,0.649324603,0.00958254489199325,0.5626060133,0.0118705532535575,0.649324603,0.0158226297478747,507,0.618238609850572,0.680410596149428
"58","14/02/2022_30m_var_cv1010_8020split",10,0.5175690474,0.0811851496316793,0.3879495908,0.0997003058546723,0.5704960315,0.0204269271689084,507,0.530364186910649,0.610627876089351
"59","14/02/2022_30m_var_cv510_8020split",10,0.4733883839,0.049886571171739,0.3376374963,0.0599539646814341,0.535190235666667,0.0288880374398775,507,0.478435236765358,0.591945234567976
"60","14/02/2022_30m_var_cv520_8020split",10,0.4831876985,0.0479511206404723,0.3469387523,0.057022710621738,0.525395202,0.02501777428841,507,0.476243931159709,0.574546472840292
"61","14/02/2022_30m_var_trainonly_nosplit",10,0.5789924602,0.00753643745913303,0.4706871119,0.00879404984024139,0.5789924602,0.0158226297478747,507,0.547906467050572,0.610078453349428
"62","19/01/2022_15m_PC_cv1010_8020split",10,0.3991214286,0.108058091158922,0.2408970106,0.135364978646884,0.559952381,0.0353804756990584,507,0.490441987169786,0.629462774830215
"63","19/01/2022_15m_PC_cv520_8020split",10,0.3772101371,0.0849205011721659,0.2146362783,0.104222582201814,0.522174964,0.0500355485768199,507,0.423872422319417,0.620477505680584
"64","19/01/2022_30m_var_cv1010_8020split",10,0.4162714286,0.0579476485547154,0.2634834151,0.0707678337311845,0.508333333000001,0.0500355485768198,507,0.410030791319418,0.606635874680584
"65","19/01/2022_30m_var_cv520_8020split",10,0.3855196249,0.0706600020147647,0.22626729,0.084332993075899,0.51597583,0.0500355485768198,507,0.417673288319417,0.614278371680583
"66","19/04/2022_50m_PC_cv1010_8020split",10,0.4192238094,0.0793118433412838,0.2702100443,0.0957200708993257,0.5905,0.0500355485768196,507,0.492197458319418,0.688802541680583
"67","19/04/2022_50m_PC_cv510_8020split",10,0.4457141413,0.0455643852429475,0.302581486,0.0533575056561574,0.504696969666667,0.0288880374398776,507,0.447941970765358,0.561451968567976
"68","19/04/2022_50m_PC_cv520_8020split",10,0.4303164143,0.0603413134856429,0.2842901121,0.0716155308749445,0.522348485,0.0353804756990584,507,0.452838091169786,0.591858878830214
"69","19/04/2022_50m_PC_trainonly_nosplit",10,0.4838753969,0.00990171571209088,0.3559183004,0.0115143127707594,0.500619048,0.05003554857682,507,0.402316506319417,0.598921589680584
"70","19/04/2022_50m_var_cv1010_8020split",10,0.6104309522,0.0768671362083267,0.5080315333,0.0974009284740723,0.6104309522,0.0158226297478748,507,0.579344959050572,0.641516945349428
"71","19/04/2022_50m_var_cv510_8020split",10,0.6230282828,0.0677790785188192,0.5251325583,0.0833987556900212,0.6230282828,0.0158226297478747,507,0.591942289650572,0.654114275949428
"72","19/04/2022_50m_var_cv520_8020split",10,0.600753391,0.0546297249799879,0.4963925641,0.0682256113639329,0.600753391,0.0158226297478747,507,0.569667397850572,0.631839384149428
"73","19/04/2022_50m_var_trainonly_nosplit",10,0.6784876982,0.00707819941662652,0.5993699924,0.00824882134698714,0.6784876982,0.0158226297478747,507,0.647401705050572,0.709573691349428
"74","22/03/2022_50m_PC_cv1010_8020split",10,0.6619380953,0.0573237132764522,0.5682261983,0.0741127278241882,0.661938095299999,0.0158226297478746,507,0.630852102150571,0.693024088449427
"75","22/03/2022_50m_PC_cv510_8020split",10,0.6485756854,0.0841656183902028,0.5558791115,0.10512244562141,0.6485756854,0.0158226297478747,507,0.617489692250572,0.679661678549428
"76","22/03/2022_50m_PC_cv520_8020split",10,0.6577169192,0.0481984697862492,0.5631487843,0.0638292333029156,0.6577169192,0.0158226297478747,507,0.626630926050572,0.688802912349428
"77","22/03/2022_50m_PC_trainonly_nosplit",10,0.8449253969,0.00719070092984475,0.8037312197,0.00903165904672847,0.8449253969,0.0158226297478747,507,0.813839403750572,0.876011390049428
"78","22/03/2022_50m_var_cv1010_8020split",10,0.6626261904,0.0835131763018229,0.5690480671,0.10856547046531,0.662626190400001,0.0158226297478748,507,0.631540197250572,0.693712183549429
"79","22/03/2022_50m_var_cv510_8020split",10,0.6413161615,0.094124195703036,0.5473228001,0.117602771170502,0.6413161615,0.0158226297478747,507,0.610230168350572,0.672402154649428
"80","22/03/2022_50m_var_cv520_8020split",10,0.6784412892,0.0759115538423144,0.5896620853,0.0987710293003985,0.6784412892,0.0158226297478748,507,0.647355296050572,0.709527282349428
"81","22/03/2022_50m_var_trainonly_nosplit",10,0.8663988095,0.00472387327061257,0.8309090213,0.00594601665155623,0.8663988095,0.0158226297478747,507,0.835312816350572,0.897484802649428
