"","contrast","estimate","SE","df","t.ratio","p.value"
"191","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_var_cv520_8020split)",-0.0147771644999991,0.0274055986326697,507,-0.539202397950307,1
"192","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_15m_var_trainonly_nosplit)",-0.1876995673,0.0274055986326697,507,-6.84894972796712,7.00062911506789e-08
"193","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_PC_cv1010_8020split)",-0.0573955989111103,0.0279084955999526,507,-2.05656369780131,1
"194","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_PC_cv510_8020split)",-0.0333443000999991,0.0274055986326697,507,-1.21669665191148,1
"195","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_PC_cv520_8020split)",-0.0509361632444441,0.0279084955999527,507,-1.8251131832606,1
"196","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_PC_trainonly_nosplit)",-0.240584884499999,0.0274055986326697,507,-8.77867649324771,8.23574775205977e-14
"197","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_var_cv1010_8020split)",-0.0219458633555543,0.0279084955999527,507,-0.78635063925092,1
"198","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_var_cv510_8020split)",-0.00821554457777697,0.0279084955999527,507,-0.294374325851906,1
"199","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_var_cv520_8020split)",-0.0194982123555547,0.0279084955999528,507,-0.69864791836317,1
"200","(03/02/2022_15m_PC_cv520_8020split) - (09/03/2022_30m_var_trainonly_nosplit)",-0.190034487899999,0.0274055986326697,507,-6.93414839964349,4.04834756480732e-08
"201","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15-30m_PC_cv1010_8020split)",0.0379895022000013,0.0418627433999293,507,0.907477606927822,1
"202","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15-30m_var_cv1010_8020split)",0.00370739520000145,0.0418627433999293,507,0.0885607320233033,1
"203","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15-30m_var_cv510_8020split)",0.0254400932000018,0.0548111972653399,507,0.464140439714294,1
"204","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15-30m_var_cv520_8020split)",0.0214660892000006,0.0548111972653395,507,0.391636933163197,1
