date,alt,PC,mtry,OOB,X35,X70,X140,X280,X560,Accuracy_test,AccuracyPValue_test,Kappa_test
14/02/2022,15-30m,3,1,0.614583333,0.555555556,0.789473684,0.65,0.631578947,0.45,0.458333333,0.021338242,0.320261438
14/02/2022,15-30m,3,1,0.489583333,0.611111111,0.75,0.526315789,0.315789474,0.25,0.458333333,0.021338242,0.324675325
14/02/2022,15-30m,3,1,0.510416667,0.45,0.769230769,0.545454545,0.619047619,0.25,0.333333333,0.925842635,0.216326531
14/02/2022,15-30m,3,1,0.489583333,0.473684211,0.764705882,0.5,0.5,0.25,0.375,0.245115903,0.217391304
14/02/2022,15-30m,3,1,0.552083333,0.578947368,0.631578947,0.75,0.611111111,0.2,0.5,0.00719965,0.379310345
14/02/2022,15-30m,3,1,0.489583333,0.578947368,0.761904762,0.470588235,0.368421053,0.25,0.291666667,0.576594913,0.113043478
09/03/2022,15-30m,3,1,0.28125,0.173913043,0.6875,0.176470588,0.263157895,0.19047619,0.5,0.067658779,0.37527115
09/03/2022,15-30m,3,1,0.375,0.315789474,0.705882353,0.277777778,0.45,0.181818182,0.5,0.025284561,0.36
09/03/2022,15-30m,3,1,0.333333333,0.5,0.45,0.263157895,0.315789474,0.15,0.541666667,0.002094047,0.432258065
09/03/2022,15-30m,3,1,0.416666667,0.473684211,0.722222222,0.2,0.4,0.315789474,0.708333333,3.08E-06,0.633187773
09/03/2022,15-30m,3,1,0.364583333,0.526315789,0.454545455,0.333333333,0.263157895,0.222222222,0.541666667,0.002094047,0.424836601
09/03/2022,15-30m,3,1,0.364583333,0.523809524,0.454545455,0.277777778,0.352941176,0.166666667,0.708333333,2.93E-05,0.626666667
09/03/2022,15-30m,3,1,0.333333333,0.4,0.65,0.095238095,0.352941176,0.166666667,0.583333333,0.002719681,0.473684211
09/03/2022,15-30m,3,1,0.395833333,0.578947368,0.476190476,0.25,0.428571429,0.210526316,0.666666667,0.000859483,0.578021978
09/03/2022,15-30m,3,1,0.375,0.55,0.722222222,0.090909091,0.4375,0.15,0.541666667,0.028441128,0.428571429
09/03/2022,15-30m,3,1,0.322916667,0.285714286,0.45,0.2,0.421052632,0.25,0.625,0.003229781,0.517857143
03/02/2022,15m,3,1,0.604166667,1,0.9,0.7,0.5,0,0.583333333,0.06644764,0.491525424
03/02/2022,15m,3,1,0.479166667,0.545454545,0.9,0.375,0.4,0.111111111,0.583333333,0.06644764,0.482758621
03/02/2022,15m,3,1,0.541666667,1,0.777777778,0.545454545,0.5,0.083333333,0.416666667,0.368479286,0.269565217
03/02/2022,15m,3,1,0.520833333,0.5,0.666666667,0.7,0.6,0.111111111,0.583333333,0.014252782,0.487179487
03/02/2022,15m,3,1,0.5625,0.909090909,0.888888889,0.5,0.444444444,0,0.416666667,0.157643676,0.243243243
03/02/2022,15m,3,1,0.416666667,0.444444444,0.666666667,0.454545455,0.5,0.090909091,0.5,0.177722456,0.357142857
03/02/2022,15m,3,1,0.520833333,0.636363636,0.666666667,0.6,0.181818182,0.5,0.416666667,0.981241568,0.243243243
03/02/2022,15m,3,1,0.5,0.777777778,0.888888889,0.3,0.555555556,0.090909091,0.75,0.000391662,0.681415929
03/02/2022,15m,3,1,0.583333333,0.583333333,0.8,0.777777778,0.4,0.285714286,0.916666667,0.0004874,0.881188119
03/02/2022,15m,3,1,0.458333333,0.545454545,0.888888889,0.2,0.4,0.25,0.666666667,0.018758432,0.567567568
14/02/2022,15m,3,1,0.583333333,0.5,0.7,0.875,0.6,0.3,0.416666667,0.368479286,0.288135593
14/02/2022,15m,3,1,0.541666667,0.714285714,0.8,0.636363636,0.5,0.166666667,0.166666667,0.985141386,0.032258065
14/02/2022,15m,3,1,0.645833333,0.727272727,0.666666667,0.8,0.857142857,0.125,0.5,0.379768823,0.307692308
14/02/2022,15m,3,1,0.625,0.818181818,1,0.777777778,0.363636364,0.222222222,0.666666667,0.018758432,0.578947368
14/02/2022,15m,3,1,0.541666667,0.7,0.9,0.75,0.444444444,0,0.5,0.177722456,0.384615385
14/02/2022,15m,3,1,0.583333333,0.9,1,0.666666667,0.3,0.1,0.25,0.609324992,0.044247788
14/02/2022,15m,3,1,0.5625,0.777777778,0.636363636,0.777777778,0.5,0.111111111,0.416666667,0.157643676,0.3
14/02/2022,15m,3,1,0.604166667,0.75,0.875,0.818181818,0.555555556,0.166666667,0.25,0.818877354,0.107438017
14/02/2022,15m,3,1,0.5625,0.857142857,0.6,0.888888889,0.454545455,0.181818182,0.333333333,0.808403993,0.193277311
14/02/2022,15m,3,1,0.5625,0.583333333,0.777777778,0.777777778,0.4,0.25,0.333333333,0.606925322,0.172413793
09/03/2022,15m,3,1,0.333333333,0.333333333,0.363636364,0.333333333,0.3,0.333333333,0.75,0.000391662,0.692307692
09/03/2022,15m,3,1,0.458333333,0.555555556,0.6,0.5,0.5,0.181818182,0.666666667,0.018758432,0.578947368
09/03/2022,15m,3,1,0.416666667,0.333333333,0.6,0.3,0.6,0.222222222,0.75,0.000391662,0.686956522
26/05/2022,15m,3,1,0.854166667,0.7,1,0.777777778,0.8,1,0.166666667,0.946048574,0.024390244
26/05/2022,15m,3,1,0.9375,1,0.909090909,0.818181818,1,1,0.333333333,0.606925322,0.165217391
26/05/2022,15m,3,1,0.791666667,0.666666667,1,0.666666667,1,0.7,0,1,-0.220338983
26/05/2022,15m,3,1,0.9375,0.916666667,1,0.777777778,1,1,0.166666667,0.985141386,0
26/05/2022,15m,3,1,0.916666667,1,1,0.909090909,0.7,1,0.166666667,0.946048574,0
26/05/2022,15m,3,1,0.8125,0.6,1,0.727272727,0.909090909,0.9,0.083333333,0.999755859,-0.047619048
26/05/2022,15m,3,1,0.875,1,0.7,0.777777778,0.888888889,1,0.083333333,0.968323648,-0.147826087
26/05/2022,15m,3,1,0.875,0.818181818,1,0.777777778,0.818181818,1,0.166666667,0.946048574,-0.043478261
26/05/2022,15m,3,1,0.895833333,0.777777778,1,0.8,0.9,1,0.083333333,0.968323648,-0.157894737
26/05/2022,15m,3,1,0.895833333,0.7,1,0.875,0.9,1,0.166666667,0.946048574,0
03/02/2022,30m,3,1,0.604166667,0.545454545,0.8,0.75,0.545454545,0.375,0.333333333,0.606925322,0.213114754
14/02/2022,30m,3,1,0.708333333,0.727272727,1,0.6,0.777777778,0.285714286,0.25,0.932866946,0.076923077
14/02/2022,30m,3,1,0.583333333,0.857142857,0.727272727,0.875,0.545454545,0.090909091,0.416666667,0.608374247,0.263157895
14/02/2022,30m,3,1,0.666666667,0.875,0.916666667,0.727272727,0.444444444,0.25,0.416666667,0.368479286,0.288135593
14/02/2022,30m,3,1,0.541666667,0.625,1,0.636363636,0.375,0.090909091,0.25,0.818877354,0.052631579
14/02/2022,30m,3,1,0.604166667,0.6,1,0.875,0.454545455,0.2,0.166666667,0.946048574,-0.034482759
14/02/2022,30m,3,1,0.583333333,1,0.727272727,0.777777778,0.4,0.1,0.166666667,0.946048574,0
14/02/2022,30m,3,1,0.583333333,0.666666667,0.636363636,0.777777778,0.875,0.090909091,0.333333333,0.606925322,0.165217391
14/02/2022,30m,3,1,0.645833333,0.888888889,0.727272727,0.777777778,0.6,0.222222222,0.5,0.054402232,0.404958678
14/02/2022,30m,3,1,0.625,0.875,0.727272727,0.777777778,0.454545455,0.333333333,0.25,0.818877354,0.129032258
14/02/2022,30m,3,1,0.666666667,0.555555556,0.9,0.9,0.6,0.333333333,0.5,0.054402232,0.362831858
26/05/2022,30m,3,1,0.875,0.7,1,0.888888889,0.8,1,0.25,0.609324992,0.027027027
26/05/2022,30m,3,1,0.833333333,0.666666667,0.9,1,0.666666667,1,0.333333333,0.606925322,0.172413793
26/05/2022,30m,3,1,0.854166667,0.75,1,0.7,0.777777778,1,0.083333333,0.992292653,-0.081967213
26/05/2022,30m,3,1,0.8125,0.555555556,1,0.714285714,0.727272727,1,0.166666667,0.985141386,0.032258065
26/05/2022,30m,3,1,0.833333333,0.5,1,0.75,1,1,0.25,0.932866946,0.018181818
26/05/2022,30m,3,1,0.791666667,0.6,0.9,0.777777778,0.8,0.888888889,0.166666667,0.84161824,-0.025641026
26/05/2022,30m,3,1,0.854166667,0.8,0.909090909,0.777777778,0.8,1,0.083333333,0.992292653,-0.109243697
26/05/2022,30m,3,1,0.875,0.9,1,0.777777778,0.8,0.888888889,0.333333333,0.351221383,0.172413793
26/05/2022,30m,3,1,0.8125,0.583333333,1,0.727272727,0.888888889,1,0.166666667,0.985141386,-0.008403361
