"","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions"
"176",0.291,0.101147404319818,0.139230287479914,0.178784359645376,0.416666666666667,0.368479285565096,0.317073170731707,4,"2022-01-19","30m",10,10
"177",0.328333333333333,0.148268023970383,0.169065232232175,0.214598281123896,0.333333333333333,0.808403992861572,0.238095238095238,0,"2022-01-19","15m",10,10
"178",0.363666666666667,0.196274343019352,0.164776827612591,0.200811887820361,0.333333333333333,0.808403992861572,0.0857142857142857,4,"2022-01-19","15m",10,10
"179",0.462833333333333,0.317363533978565,0.179581365656723,0.220689438560212,0.166666666666667,0.985141386354961,0.0625,0,"2022-01-19","15-30m",10,10
"180",0.35152380952381,0.185186016544456,0.141867471397305,0.165093128489038,0.166666666666667,0.985141386354961,0.032258064516129,5,"2022-01-19","15-30m",10,10
"181",0.542166666666667,0.426226245976246,0.182412056205609,0.217399589100191,0.5,0.177722456490937,0.424,0,"2022-02-03","15m",10,10
"182",0.450166666666667,0.308072920640293,0.192209303588778,0.228421185896748,0.5,0.177722456490937,0.40495867768595,3,"2022-02-03","15m",10,10
"183",0.526166666666667,0.404097743252916,0.154746362115894,0.186509887784987,0.416666666666667,0.368479285565096,0.275862068965517,0,"2022-02-03","30m",10,10
"184",0.346333333333333,0.181899684102951,0.164251524838879,0.20479386198138,0.333333333333333,0.606925321907793,0.19327731092437,4,"2022-02-03","30m",10,10
"185",0.505833333333333,0.375940010282115,0.140113289900473,0.172687644821409,0.666666666666667,0.0187584322624713,0.593220338983051,0,"2022-02-03","15-30m",10,10
"186",0.373333333333333,0.227092827116421,0.187082869338697,0.221072850785504,0.416666666666667,0.368479285565096,0.243243243243243,6,"2022-02-03","15-30m",10,10
"187",0.596833333333333,0.488579103310127,0.115195023235497,0.133196653735342,0.25,0.818877354212415,0.1,0,"2022-03-09","15m",10,10
"188",0.603904761904762,0.492061006652285,0.122902251675338,0.152632565857929,0.416666666666667,0.368479285565096,0.311475409836066,2,"2022-03-09","15m",10,10
"189",0.5335,0.406440422322775,0.140115692937684,0.168643818831592,0.5,0.379768822525134,0.4,0,"2022-03-09","30m",10,10
"190",0.609,0.501176470588235,0.112526839297519,0.13477705188437,0.5,0.379768822525134,0.409836065573771,2,"2022-03-09","30m",10,10
"191",0.5185,0.385135746606335,0.147079595482879,0.180122516846714,0.416666666666667,0.608374246704568,0.317073170731707,0,"2022-03-09","15-30m",10,10
"192",0.5855,0.471041807527609,0.129026724452323,0.157924243131112,0.5,0.379768822525134,0.409836065573771,3,"2022-03-09","15-30m",10,10
"193",0.20902380952381,0.0129290141699397,0.146298651483582,0.182913298110012,0.25,0.818877354212415,0.107438016528926,0,"2022-06-02","50m",10,10
"194",0.144761904761905,-0.0671927318168737,0.132693182578152,0.164403897606354,0,1,-0.125,2,"2022-06-02","50m",10,10
"195",0.2205,0.0301812115920062,0.140062816595243,0.168829216014453,0.166666666666667,0.985141386354961,-0.0526315789473684,0,"2022-05-26","15m",10,10
"196",0.403833333333333,0.24015355586136,0.183980416051438,0.225959584498425,0.25,0.93286694602593,0.136,3,"2022-05-26","15m",10,10
"197",0.358666666666667,0.196794082001886,0.143537948071149,0.181325276219719,0.333333333333333,0.606925321907793,0.142857142857143,0,"2022-05-26","50m",10,10
"198",0.2365,0.0375221681631418,0.167886027691561,0.215209503417931,0.333333333333333,0.606925321907793,0.0943396226415094,3,"2022-05-26","50m",10,10
"199",0.225666666666667,0.0391586705425245,0.164624185144394,0.182213244442452,0,1,-0.107692307692308,0,"2022-05-26","30m",10,10
"200",0.313404761904762,0.135316850780009,0.200015933937756,0.233284173159574,0.25,0.818877354212415,-0.0188679245283019,3,"2022-05-26","30m",10,10
"201",0.241285714285714,0.0470763457371403,0.144438981549964,0.172984780067872,0.25,0.818877354212415,0.0608695652173913,0,"2022-05-26","15-30-50m",10,10
"202",0.351833333333333,0.163984360352173,0.169800420907948,0.197223336631976,0,1,-0.0434782608695652,5,"2022-05-26","15-30-50m",10,10
"203",0.553142857142857,0.434961608251082,0.128386859130798,0.151822390629871,0.5,0.177722456490937,0.368421052631579,0,"2022-03-22","50m",10,10
"204",0.597428571428571,0.493729780966623,0.0726035159507677,0.0818568169850922,0.583333333333333,0.0664476395310109,0.473684210526316,2,"2022-03-22","50m",10,10
"205",0.650333333333333,0.556979853479853,0.169735715874846,0.2134054034547,0.75,0.000391662120819092,0.689655172413793,0,"2022-04-19","50m",10,10
"206",0.347333333333333,0.18112285687694,0.149723276359176,0.186744792844646,0.583333333333333,0.014252781867981,0.454545454545455,3,"2022-04-19","50m",10,10
"207",0.782666666666667,0.723011204481793,0.117587038231452,0.150319818074164,0.583333333333333,0.0664476395310109,0.482758620689655,0,"2022-04-05","50m",10,10
"208",0.778666666666667,0.718714896214896,0.112966329916153,0.142457624817365,0.583333333333333,0.0664476395310109,0.5,3,"2022-04-05","50m",10,10
"209",0.3295,0.160395914154495,0.115806230630091,0.141348622857148,0.5,0.0544022321701049,0.345454545454545,0,"2022-05-03","50m",10,10
"210",0.370166666666667,0.224398909519599,0.205511802605352,0.240708203972705,0.166666666666667,0.841618239879608,0,3,"2022-05-03","50m",10,10
