"","cp","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"135",0.001,0.47152380952381,0.33638589527317,0.193502051195468,0.241137602327662,"2022-01-19","15m",0,10,10
"136",0.001,0.409027777777778,0.260643829833259,0.193843790710311,0.243135305882103,"2022-01-19","15m",4,10,10
"137",0.001,0.347119047619048,0.184439431615602,0.179845477484914,0.217733323140252,"2022-01-19","15-30m",0,10,10
"138",0.001,0.409027777777778,0.260643829833259,0.193843790710311,0.243135305882103,"2022-01-19","15-30m",6,10,10
"139",0.001,0.608547619047619,0.506817843951478,0.197771646953309,0.248139465689049,"2022-02-03","15m",0,10,10
"140",0.001,0.533726190476191,0.412099688525479,0.174199574117088,0.215992989350975,"2022-02-03","15m",3,10,10
"141",0.001,0.459388888888889,0.324494669449056,0.20306584964022,0.250731963348322,"2022-02-03","30m",0,10,10
"142",0.001,0.282714285714286,0.106743138546448,0.166159080707908,0.21079711355616,"2022-02-03","30m",4,10,10
"143",0.001,0.37475,0.223440651387144,0.150124616593485,0.18285021287209,"2022-02-03","15-30m",0,10,10
"144",0.001,0.282714285714286,0.106743138546448,0.166159080707908,0.21079711355616,"2022-02-03","15-30m",6,10,10
"145",0.001,0.725075396825397,0.652582655257921,0.179246214903084,0.224763991994003,"2022-03-09","15m",0,10,10
"146",0.001,0.758047619047619,0.695187147319307,0.164997752886492,0.205806743658309,"2022-03-09","15m",2,10,10
"147",0.001,0.722107142857143,0.64883835583493,0.187371680133851,0.236694653335145,"2022-03-09","30m",0,10,10
"148",0.001,0.771071428571429,0.711737839352883,0.15427036493045,0.192213911332453,"2022-03-09","30m",2,10,10
"149",0.001,0.809785714285714,0.760112335876176,0.150704156248433,0.189502222139506,"2022-03-09","15-30m",0,10,10
"150",0.001,0.771071428571429,0.711737839352883,0.15427036493045,0.192213911332453,"2022-03-09","15-30m",3,10,10
"151",0.001,0.153638888888889,-0.051468059389419,0.11815737973064,0.145202175174526,"2022-06-02","50m",0,10,10
"152",0.001,0.19147619047619,-0.00504222919805584,0.149650363259842,0.184631400953239,"2022-06-02","50m",2,10,10
"153",0.001,0.201293650793651,0.00979842435474121,0.14484390675415,0.175217464041795,"2022-05-26","15m",0,10,10
"154",0.001,0.147051587301587,-0.0631435737472915,0.124799750462704,0.153591669374671,"2022-05-26","15m",3,10,10
"155",0.001,0.329456349206349,0.162958255005642,0.191470575716084,0.233108899864971,"2022-05-26","50m",0,10,10
"156",0.001,0.159880952380952,-0.0491396056289176,0.128732385043282,0.163630394863427,"2022-05-26","50m",3,10,10
"157",0.001,0.174075396825397,-0.023402061179477,0.13663758724053,0.168229457834066,"2022-05-26","30m",0,10,10
"158",0.001,0.222428571428571,0.0314542047088993,0.137008474424684,0.168936369699499,"2022-05-26","30m",3,10,10
"159",0.001,0.211972222222222,0.0198008538573327,0.14045070074299,0.170856174222702,"2022-05-26","15-30-50m",0,10,10
"160",0.001,0.222428571428571,0.0314542047088993,0.137008474424684,0.168936369699499,"2022-05-26","15-30-50m",5,10,10
"161",0.001,0.858809523809524,0.821796743169424,0.125125283650898,0.1566940379408,"2022-03-22","50m",0,10,10
"162",0.001,0.83852380952381,0.795923033208917,0.133503777713347,0.167929787904107,"2022-03-22","50m",2,10,10
"163",0.001,0.661130952380952,0.578912379672257,0.130720571315119,0.15808879528989,"2022-04-19","50m",0,10,10
"164",0.001,0.472428571428571,0.342154783800305,0.179515200429465,0.221789054599536,"2022-04-19","50m",3,10,10
"165",0.001,0.791428571428571,0.736293242997262,0.134691576207811,0.168209522582888,"2022-04-05","50m",0,10,10
"166",0.001,0.710253968253968,0.633696327791172,0.132142233862986,0.164901717411142,"2022-04-05","50m",4,10,10
"167",0.001,0.37075,0.217337666187594,0.144176334015292,0.176166999481193,"2022-05-03","50m",0,10,10
"168",0.001,0.425952380952381,0.278300517721606,0.187548981210754,0.23656725876625,"2022-05-03","50m",3,10,10
"169",0.001,0.647119047619048,0.560700492575419,0.159525082016275,0.193714426084351,"2022-02-14","15m",0,10,10
"170",0.001,0.575583333333333,0.467853465749776,0.182698225819601,0.223202950819314,"2022-02-14","15m",3,10,10
"171",0.001,0.589337301587302,0.48114996938686,0.173610600608517,0.218556468316526,"2022-02-14","30m",0,10,10
"172",0.001,0.305511904761905,0.137851631000902,0.156714168770909,0.187957039829147,"2022-02-14","30m",3,10,10
"173",0.001,0.48993253968254,0.361077214110852,0.154116353358703,0.190093946507137,"2022-02-14","15-30m",0,10,10
"174",0.001,0.305511904761905,0.137851631000902,0.156714168770909,0.187957039829147,"2022-02-14","15-30m",4,10,10
"175",0.001,0.348238095238095,0.18627520418282,0.150736820004013,0.181428429681384,"2022-01-19","30m",0,10,10
"176",0.001,0.354765873015873,0.195004177236566,0.154844860199506,0.187783013643213,"2022-01-19","30m",4,10,10
"177",0.001,0.454595238095238,0.313393309665918,0.172116044101147,0.214115420899456,"2022-01-19","15m",0,10,10
"178",0.001,0.422738095238095,0.278338542679691,0.183057057437684,0.226570357249322,"2022-01-19","15m",4,10,10
"179",0.001,0.326642857142857,0.156473614091425,0.158971928068262,0.196403675972087,"2022-01-19","15-30m",0,10,10
"180",0.001,0.422738095238095,0.278338542679691,0.183057057437684,0.226570357249322,"2022-01-19","15-30m",6,10,10
"181",0.001,0.59775,0.498173046382827,0.182886606068777,0.224210877932099,"2022-02-03","15m",0,10,10
"182",0.001,0.527702380952381,0.409608026747058,0.154574928214108,0.190417866214065,"2022-02-03","15m",3,10,10
"183",0.001,0.446480158730159,0.304053506869423,0.185558534653792,0.229848878531174,"2022-02-03","30m",0,10,10
"184",0.001,0.306154761904762,0.139979305342762,0.180406956833026,0.220053833395704,"2022-02-03","30m",4,10,10
"185",0.001,0.399607142857143,0.247583757426286,0.165950762226045,0.206819577105948,"2022-02-03","15-30m",0,10,10
"186",0.001,0.306154761904762,0.139979305342762,0.180406956833026,0.220053833395704,"2022-02-03","15-30m",6,10,10
"187",0.001,0.731623015873016,0.660252900736476,0.163583730407949,0.206464035942175,"2022-03-09","15m",0,10,10
