,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
390,0.001,0.305409091,0.123254647,0.110068406,0.137791218,0.416666667,0.157643676,0.294117647,4,19/01/2022,30m,5,10
391,0.001,0.360338384,0.186688779,0.175589719,0.218055037,0.583333333,0.189264302,0.449541284,0,19/01/2022,15m,5,10
392,0.001,0.419782828,0.259652095,0.142917507,0.17999034,0.583333333,0.189264302,0.449541284,4,19/01/2022,15m,5,10
393,0.001,0.679550543,0.598781796,0.101779734,0.127471765,0.708333333,2.93E-05,0.625,0,09/03/2022,15-30m,5,10
394,0.001,0.657272348,0.570419427,0.091934459,0.114950568,0.666666667,0.000157148,0.575221239,3,09/03/2022,15-30m,5,10
395,0.001,0.639414141,0.536109706,0.059843512,0.075252752,0.416666667,0.806152344,0.34375,0,09/03/2022,15m,5,10
396,0.001,0.627383838,0.521452747,0.083185328,0.102321094,0.333333333,0.927001953,0.255813953,3,09/03/2022,15m,5,10
397,0.001,0.580222222,0.471275412,0.081008073,0.100574793,0.5,0.177722456,0.4,0,09/03/2022,30m,5,10
398,0.001,0.580444444,0.47,0.074841228,0.092573575,0.5,0.177722456,0.4,2,09/03/2022,30m,5,10
399,0.001,0.281859307,0.091200966,0.095052885,0.111595358,0.166666667,0.84161824,-0.025641026,0,02/06/2022,50m,5,10
400,0.001,0.219429293,0.022404103,0.115228978,0.139837563,0.333333333,0.351221383,0.111111111,2,02/06/2022,50m,5,10
401,0.001,0.559419192,0.454232274,0.073350924,0.088046982,0.583333333,0.06644764,0.482758621,0,22/03/2022,50m,5,10
402,0.001,0.541333333,0.432144697,0.072057217,0.078506208,0.5,0.177722456,0.368421053,2,22/03/2022,50m,5,10
403,0.001,0.54419697,0.427736246,0.10645171,0.129186854,0.416666667,0.157643676,0.282051282,0,19/04/2022,50m,5,10
404,0.001,0.437868687,0.291464996,0.097605381,0.116253658,0.333333333,0.351221383,0.186440678,3,19/04/2022,50m,5,10
405,0.001,0.580459596,0.466496597,0.096426458,0.120150172,0.75,0.000391662,0.684210526,0,05/04/2022,50m,5,10
406,0.001,0.60744733,0.501594419,0.075329078,0.090111547,0.75,0.000391662,0.684210526,4,05/04/2022,50m,5,10
407,0.001,0.260689914,0.06908219,0.078247414,0.096592283,0.277777778,0.889587248,0.064,0,26/05/2022,15-30-50m,5,10
408,0.001,0.264619654,0.074421382,0.093302916,0.11404316,0.277777778,0.889587248,0.106870229,3,26/05/2022,15-30-50m,5,10
409,0.001,0.343792208,0.175166194,0.128180094,0.159677786,0.333333333,0.606925322,0.142857143,0,26/05/2022,50m,5,10
410,0.001,0.238391053,0.049867802,0.088293173,0.116022564,0.166666667,0.946048574,-0.016949153,3,26/05/2022,50m,5,10
411,0.001,0.238954545,0.037019422,0.110040886,0.133639259,0.083333333,0.992292653,-0.073170732,0,26/05/2022,15m,5,10
412,0.001,0.237005051,0.039521698,0.120228783,0.150036919,0.166666667,0.946048574,0.0625,3,26/05/2022,15m,5,10
413,0.001,0.23419697,0.027424427,0.101472325,0.12709751,0.166666667,0.946048574,0,0,26/05/2022,30m,5,10
414,0.001,0.190449495,-0.013713013,0.097757087,0.127240764,0.25,0.818877354,0.092436975,3,26/05/2022,30m,5,10
415,0.001,0.433034252,0.288911585,0.120529491,0.150491234,0.666666667,0.000157148,0.585313175,0,14/02/2022,15-30m,5,10
416,0.001,0.426588137,0.280666134,0.103796969,0.1305237,0.583333333,0.002719681,0.474835886,3,14/02/2022,15-30m,5,10
417,0.001,0.589388889,0.484812026,0.177176821,0.220486226,0.416666667,0.157643676,0.294117647,0,14/02/2022,15m,5,10
418,0.001,0.448777778,0.311424509,0.096521054,0.11923855,0.333333333,0.351221383,0.186440678,3,14/02/2022,15m,5,10
419,0.001,0.467929293,0.328554991,0.113205372,0.139726663,0.25,0.818877354,0.044247788,0,14/02/2022,30m,5,10
420,0.001,0.349580087,0.179819365,0.109913976,0.136072823,0.25,0.818877354,0.052631579,3,14/02/2022,30m,5,10
