,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
214,0.001,0.304138889,0.134124728,0.168760895,0.204474257,NA,NA,NA,4,03/02/2022,30m,10,10
215,0.001,0.587619048,0.481070971,0.184899345,0.230497502,NA,NA,NA,0,03/02/2022,15m,10,10
216,0.001,0.539626984,0.41862209,0.150803977,0.189680386,NA,NA,NA,3,03/02/2022,15m,10,10
217,0.001,0.37002381,0.209003359,0.153562572,0.190944245,NA,NA,NA,0,03/05/2022,50m,10,10
218,0.001,0.449309524,0.307081022,0.212071302,0.261566368,NA,NA,NA,3,03/05/2022,50m,10,10
219,0.001,0.332855644,0.166944317,0.119412449,0.148306713,NA,NA,NA,0,19/01/2022,15-30m,10,10
220,0.001,0.323071096,0.152824215,0.122595271,0.1553151,NA,NA,NA,4,19/01/2022,15-30m,10,10
221,0.001,0.357551587,0.194195708,0.165402697,0.20474804,NA,NA,NA,0,19/01/2022,30m,10,10
222,0.001,0.36318254,0.202154745,0.150905532,0.184332647,NA,NA,NA,4,19/01/2022,30m,10,10
223,0.001,0.474619048,0.335543091,0.191869743,0.244651698,NA,NA,NA,0,19/01/2022,15m,10,10
224,0.001,0.418547619,0.273427132,0.195333992,0.239209343,NA,NA,NA,4,19/01/2022,15m,10,10
225,0.001,0.665978688,0.581683232,0.115802388,0.144101108,NA,NA,NA,0,09/03/2022,15-30m,10,10
226,0.001,0.663826673,0.578606422,0.099474403,0.123697919,NA,NA,NA,3,09/03/2022,15-30m,10,10
227,0.001,0.729011905,0.657751977,0.179051915,0.225250692,NA,NA,NA,0,09/03/2022,15m,10,10
228,0.001,0.747595238,0.678428029,0.172398682,0.21993672,NA,NA,NA,2,09/03/2022,15m,10,10
229,0.001,0.739321429,0.669982306,0.158455521,0.200595106,NA,NA,NA,0,09/03/2022,30m,10,10
230,0.001,0.783678571,0.7258009,0.149414144,0.188313743,NA,NA,NA,2,09/03/2022,30m,10,10
231,0.001,0.140634921,-0.063082821,0.125890187,0.153672728,NA,NA,NA,0,02/06/2022,50m,10,10
