"","mincriterion","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"267",0.05,0.699537463,0.622290631,0.110823338,0.139058194,NA,NA,NA,0,"09/03/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"268",0.05,0.65766034,0.571469586,0.125603241,0.156255321,NA,NA,NA,3,"09/03/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"269",0.05,0.70525,0.628985421,0.173270618,0.217468571,NA,NA,NA,0,"09/03/2022","15m",10,10,"cv1010","nosplit_trainonly"
"270",0.05,0.732626984,0.665013939,0.166639919,0.205123038,NA,NA,NA,2,"09/03/2022","15m",10,10,"cv1010","nosplit_trainonly"
"271",0.05,0.737035714,0.666660329,0.14342359,0.180304712,NA,NA,NA,0,"09/03/2022","30m",10,10,"cv1010","nosplit_trainonly"
"272",0.05,0.769119048,0.708171017,0.167722112,0.209993328,NA,NA,NA,2,"09/03/2022","30m",10,10,"cv1010","nosplit_trainonly"
"273",0.05,0.276011905,0.109163509,0.116578578,0.141184406,NA,NA,NA,0,"02/06/2022","50m",10,10,"cv1010","nosplit_trainonly"
"274",0.05,0.137079365,-0.070878372,0.13183992,0.156921055,NA,NA,NA,2,"02/06/2022","50m",10,10,"cv1010","nosplit_trainonly"
"275",0.05,0.76265873,0.700664686,0.15170104,0.190318211,NA,NA,NA,0,"22/03/2022","50m",10,10,"cv1010","nosplit_trainonly"
"276",0.05,0.846464286,0.805333746,0.124632405,0.15824431,NA,NA,NA,2,"22/03/2022","50m",10,10,"cv1010","nosplit_trainonly"
"277",0.05,0.663531746,0.579519762,0.127940777,0.156653084,NA,NA,NA,0,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"278",0.05,0.501738095,0.380774733,0.185564947,0.229273447,NA,NA,NA,3,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"279",0.05,0.704650794,0.626188929,0.111204796,0.13961841,NA,NA,NA,0,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"280",0.05,0.700738095,0.621277996,0.155730658,0.192757855,NA,NA,NA,4,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"281",0.05,0.239148091,0.052433036,0.090684231,0.113220133,NA,NA,NA,0,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
"282",0.05,0.282438596,0.103023491,0.092682738,0.115172842,NA,NA,NA,3,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
"283",0.05,0.325452381,0.166878045,0.159634579,0.195121985,NA,NA,NA,0,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"284",0.05,0.196416667,0.00280455,0.141506613,0.177071607,NA,NA,NA,3,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"285",0.05,0.188178571,0.010410341,0.099235675,0.113469562,NA,NA,NA,0,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"286",0.05,0.183837302,-0.013355241,0.129799658,0.15660612,NA,NA,NA,3,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"287",0.05,0.225674603,0.039605925,0.139236544,0.167636345,NA,NA,NA,0,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
"288",0.05,0.26002381,0.093437912,0.12655062,0.151628489,NA,NA,NA,3,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
"289",0.05,0.533697636,0.416849802,0.125162899,0.15523369,NA,NA,NA,0,"14/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"290",0.05,0.452031968,0.314810308,0.128099002,0.158422604,NA,NA,NA,3,"14/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"291",0.05,0.685238095,0.603132148,0.159657016,0.198541062,NA,NA,NA,0,"14/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"292",0.05,0.560734127,0.447939694,0.161309968,0.200306092,NA,NA,NA,3,"14/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"293",0.05,0.48425,0.352436699,0.156960815,0.192219976,NA,NA,NA,0,"14/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"294",0.05,0.398948413,0.248341666,0.159325247,0.198419219,NA,NA,NA,3,"14/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"295",0.05,0.35722644,0.197839551,0.108703469,0.13384882,NA,NA,NA,0,"03/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"296",0.05,0.354040626,0.193106204,0.098752471,0.121183136,NA,NA,NA,3,"03/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"297",0.05,0.473456349,0.339794153,0.163932455,0.201218404,NA,NA,NA,0,"03/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"298",0.05,0.323154762,0.155649384,0.16939551,0.207366774,NA,NA,NA,4,"03/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"299",0.05,0.562230159,0.452458718,0.17702261,0.217054429,NA,NA,NA,0,"03/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"300",0.05,0.515261905,0.389577876,0.170678824,0.210703135,NA,NA,NA,3,"03/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"301",0.05,0.471166667,0.339427577,0.168606146,0.208158159,NA,NA,NA,0,"03/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"302",0.05,0.30027381,0.129146787,0.137528782,0.172287641,NA,NA,NA,3,"03/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"303",0.05,0.32865651,0.160713154,0.124289079,0.152347612,NA,NA,NA,0,"19/01/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"304",0.05,0.307180819,0.136304436,0.134091632,0.165555553,NA,NA,NA,4,"19/01/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"305",0.05,0.388,0.231178868,0.171798166,0.208598755,NA,NA,NA,0,"19/01/2022","30m",10,10,"cv1010","nosplit_trainonly"
"306",0.05,0.366904762,0.207024418,0.168314111,0.206539606,NA,NA,NA,4,"19/01/2022","30m",10,10,"cv1010","nosplit_trainonly"
"307",0.05,0.294956349,0.125253639,0.141201991,0.172964968,NA,NA,NA,0,"19/01/2022","15m",10,10,"cv1010","nosplit_trainonly"
"308",0.05,0.434095238,0.289834469,0.194981994,0.241028758,NA,NA,NA,4,"19/01/2022","15m",10,10,"cv1010","nosplit_trainonly"
"309",0.05,0.698807193,0.62055117,0.108507786,0.136946518,NA,NA,NA,0,"09/03/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"310",0.05,0.678715118,0.59717439,0.116192046,0.14538633,NA,NA,NA,3,"09/03/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"311",0.05,0.737464286,0.666879412,0.153654924,0.192436517,NA,NA,NA,0,"09/03/2022","15m",10,10,"cv1010","nosplit_trainonly"
"312",0.05,0.734059524,0.664234299,0.176865905,0.220933794,NA,NA,NA,2,"09/03/2022","15m",10,10,"cv1010","nosplit_trainonly"
"313",0.05,0.740416667,0.671750039,0.152873593,0.192472068,NA,NA,NA,0,"09/03/2022","30m",10,10,"cv1010","nosplit_trainonly"
"314",0.05,0.754186508,0.690895333,0.159374558,0.198285621,NA,NA,NA,2,"09/03/2022","30m",10,10,"cv1010","nosplit_trainonly"
"315",0.05,0.311154762,0.146415257,0.111102835,0.126377546,NA,NA,NA,0,"02/06/2022","50m",10,10,"cv1010","nosplit_trainonly"
"316",0.05,0.160051587,-0.039704843,0.12589274,0.152319437,NA,NA,NA,2,"02/06/2022","50m",10,10,"cv1010","nosplit_trainonly"
"317",0.05,0.764380952,0.701128736,0.174989871,0.220357296,NA,NA,NA,0,"22/03/2022","50m",10,10,"cv1010","nosplit_trainonly"
"318",0.05,0.849702381,0.80992782,0.123654764,0.154948438,NA,NA,NA,2,"22/03/2022","50m",10,10,"cv1010","nosplit_trainonly"
"319",0.05,0.663488095,0.579862216,0.135569703,0.165308171,NA,NA,NA,0,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"320",0.05,0.50022619,0.382890507,0.19296576,0.231744838,NA,NA,NA,3,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"321",0.05,0.71747619,0.644082164,0.126873247,0.154951474,NA,NA,NA,0,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"322",0.05,0.701535714,0.625156773,0.144427228,0.177934395,NA,NA,NA,4,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"323",0.05,0.227989938,0.035326057,0.090452487,0.112992773,NA,NA,NA,0,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
