"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"55",0.05,0.304531746031746,0.129502240102702,0.127302055856368,0.154527825628833,"2022-01-19","15m",0
"56",0.05,0.431730158730159,0.284372348969647,0.196500225973348,0.242153770930598,"2022-01-19","15m",4
"57",0.05,0.692847152847153,0.614095290829034,0.105357673652168,0.131942309527555,"2022-03-09","15-30m",0
"58",0.05,0.671172993672994,0.587509145112606,0.121681824530392,0.151660419720637,"2022-03-09","15-30m",3
"59",0.05,0.725488095238095,0.653905209387541,0.172424679926714,0.215243184331072,"2022-03-09","15m",0
"60",0.05,0.716547619047619,0.643204982397088,0.167630732312242,0.209086263973037,"2022-03-09","15m",2
"61",0.05,0.742115079365079,0.673418070004973,0.154852894559087,0.194129498023859,"2022-03-09","30m",0
"62",0.05,0.766238095238095,0.704108691895119,0.162333779976023,0.203851443914226,"2022-03-09","30m",2
"63",0.05,0.288988095238095,0.121937732428897,0.124859041781053,0.150014228217985,"2022-06-02","50m",0
"64",0.05,0.145035714285714,-0.0539699943218513,0.130501657207701,0.158995646566832,"2022-06-02","50m",2
"65",0.05,0.767333333333333,0.706019312892603,0.174680007363833,0.221023938244439,"2022-03-22","50m",0
"66",0.05,0.846670634920635,0.804467553520931,0.124435744603982,0.158372326283925,"2022-03-22","50m",2
"67",0.05,0.672492063492063,0.591423295496888,0.124877837187648,0.152404282762966,"2022-04-19","50m",0
"68",0.05,0.525809523809524,0.407027138183538,0.170391608130786,0.21373805412497,"2022-04-19","50m",3
"69",0.05,0.71902380952381,0.645236602389027,0.121288786266765,0.149295267529111,"2022-04-05","50m",0
"70",0.05,0.700388888888889,0.620256915699556,0.12977654576709,0.161341506432173,"2022-04-05","50m",4
"71",0.05,0.234445562435501,0.0442978357006888,0.0891896881949684,0.109931213189959,"2022-05-26","15-30-50m",0
"72",0.05,0.291941305469556,0.115808652820853,0.103202183444016,0.12718756072444,"2022-05-26","15-30-50m",3
"73",0.05,0.28827380952381,0.119412125464586,0.165215836637221,0.197746423200946,"2022-05-26","50m",0
"74",0.05,0.19525,0.0027230655112188,0.142468757663372,0.178989631025481,"2022-05-26","50m",3
"75",0.05,0.173063492063492,-0.00568873179355881,0.0840780053816232,0.0997971721064794,"2022-05-26","15m",0
"76",0.05,0.202325396825397,0.0107182664614786,0.14899625417512,0.182576484441348,"2022-05-26","15m",3
"77",0.05,0.235619047619048,0.0519732475807532,0.146728808758947,0.175843031860883,"2022-05-26","30m",0
"78",0.05,0.257857142857143,0.0877428715519205,0.131947441622047,0.166862700993914,"2022-05-26","30m",3
"79",0.05,0.52815034965035,0.408792750090887,0.127975453519176,0.159751060121017,"2022-02-14","15-30m",0
"80",0.05,0.445425241425241,0.304309723897315,0.119012573045679,0.146848824734587,"2022-02-14","15-30m",3
"81",0.05,0.70172619047619,0.623799252271886,0.172049170674701,0.215677810506032,"2022-02-14","15m",0
"82",0.05,0.567376984126984,0.455879027271589,0.162263457507312,0.202248283687543,"2022-02-14","15m",3
"83",0.05,0.490396825396825,0.360220453383999,0.166727152953772,0.205090345228246,"2022-02-14","30m",0
"84",0.05,0.391523809523809,0.241017739045219,0.167709006097796,0.204103691008568,"2022-02-14","30m",3
"85",0.05,0.353549450549451,0.192900067306026,0.117683561679443,0.142768896409464,"2022-02-03","15-30m",0
"86",0.05,0.37192624042624,0.216559646357627,0.133177590951997,0.163331088360895,"2022-02-03","15-30m",3
"87",0.05,0.470285714285714,0.335224946659155,0.15726350915067,0.191132254361691,"2022-02-03","30m",0
"88",0.05,0.343988095238095,0.177002478904627,0.163425799398029,0.200901216876552,"2022-02-03","30m",4
"89",0.05,0.528138888888889,0.40764837700023,0.146843510088731,0.179118658055213,"2022-02-03","15m",0
"90",0.05,0.527142857142857,0.406199179894635,0.175427347771614,0.217293223558289,"2022-02-03","15m",3
"91",0.05,0.459202380952381,0.322889361610913,0.159438431974709,0.195066704483277,"2022-05-03","50m",0
"92",0.05,0.302884920634921,0.127018688175098,0.134394266680837,0.165711772599637,"2022-05-03","50m",3
"93",0.05,0.318802197802198,0.151240681172966,0.113023550319113,0.138063990490307,"2022-01-19","15-30m",0
