"","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions"
"201",0.270428571428571,0.0707212331844061,0.135567661695695,0.158274184037661,0.166666666666667,0.946048573595187,-0.121495327102804,0,"2022-05-26","15-30-50m",10,10
"202",0.434666666666667,0.272550612918628,0.198276524699505,0.239317111748469,0,1,-0.0434782608695652,5,"2022-05-26","15-30-50m",10,10
"203",0.658142857142857,0.569144807588546,0.177509324986547,0.221755037585924,0.583333333333333,0.0664476395310109,0.473684210526316,0,"2022-03-22","50m",10,10
"204",0.749714285714286,0.677863079348881,0.123806878278614,0.157475510848102,0.833333333333333,0.000543804486292928,0.785714285714286,2,"2022-03-22","50m",10,10
"205",0.664166666666667,0.574492673992674,0.12973630771624,0.16439149222476,0.833333333333333,3.76105308532715e-05,0.789473684210526,0,"2022-04-19","50m",10,10
"206",0.3955,0.244951831743574,0.167353047921779,0.20842730715714,0.416666666666667,0.157643675804138,0.236363636363636,3,"2022-04-19","50m",10,10
"207",0.719166666666667,0.643407845431439,0.15367505107972,0.193853061185996,0.666666666666667,0.0187584322624713,0.60655737704918,0,"2022-04-05","50m",10,10
"208",0.737333333333333,0.666016483516483,0.138719492657296,0.175043550674294,0.583333333333333,0.0664476395310109,0.5,3,"2022-04-05","50m",10,10
"209",0.477,0.345378827792581,0.150714348403909,0.186048438949825,0.5,0.0544022321701049,0.345454545454545,0,"2022-05-03","50m",10,10
"210",0.399333333333333,0.251727772227772,0.174124715035181,0.214362176702425,0.25,0.609324991703033,0.0181818181818182,3,"2022-05-03","50m",10,10
"211",0.669666666666667,0.581823674812786,0.163700542346488,0.202417408991923,0.666666666666667,0.072628881875895,0.547169811320755,0,"2022-02-14","15m",10,10
"212",0.598833333333333,0.49023824246656,0.212597835139902,0.268444516462241,0.333333333333333,0.808403992861572,0.255813953488372,3,"2022-02-14","15m",10,10
"213",0.468,0.332869963369963,0.14762770537382,0.18193027042542,0.416666666666667,0.368479285565096,0.3,0,"2022-02-14","30m",10,10
"214",0.3955,0.242454212454212,0.179940366103705,0.225849565034651,0.416666666666667,0.368479285565096,0.236363636363636,3,"2022-02-14","30m",10,10
"215",0.648,0.555128205128205,0.154220097211221,0.194597009744059,0.583333333333333,0.0664476395310109,0.473684210526316,0,"2022-02-14","15-30m",10,10
"216",0.5885,0.483974358974359,0.164202234264256,0.202569798850466,0.5,0.177722456490937,0.357142857142857,4,"2022-02-14","15-30m",10,10
"217",0.4125,0.261468988905831,0.199316663717477,0.252216910568042,0.333333333333333,0.606925321907793,0.179487179487179,0,"2022-01-19","30m",10,10
"218",0.413166666666667,0.259997115910909,0.185006066573265,0.234974714102805,0.416666666666667,0.368479285565096,0.243243243243243,4,"2022-01-19","30m",10,10
"219",0.3555,0.182828911293681,0.154960170111509,0.191300453964116,0.25,0.93286694602593,0.114754098360656,0,"2022-01-19","15m",10,10
"220",0.367357142857143,0.210831242981878,0.196135648192295,0.243303134856051,0.25,0.93286694602593,-0.0285714285714285,4,"2022-01-19","15m",10,10
"221",0.369,0.197213025379541,0.155555916305498,0.18980527164071,0.333333333333333,0.808403992861572,0.127272727272727,0,"2022-01-19","15-30m",10,10
"222",0.4705,0.328777976107377,0.20075411978475,0.253045251347903,0.333333333333333,0.808403992861572,0.172413793103448,6,"2022-01-19","15-30m",10,10
"223",0.554833333333333,0.440531135531135,0.166199598066019,0.207291533466925,0.416666666666667,0.157643675804138,0.288135593220339,0,"2022-02-03","15m",10,10
"224",0.562166666666667,0.455177655677656,0.169783234747565,0.205456352433013,0.5,0.0544022321701049,0.368421052631579,3,"2022-02-03","15m",10,10
"225",0.470547619047619,0.334548936419587,0.194344043048447,0.230765576828435,0.416666666666667,0.368479285565096,0.222222222222222,0,"2022-02-03","30m",10,10
"226",0.358690476190476,0.197811867831792,0.166855309650462,0.200009980129676,0.25,0.818877354212415,0.0526315789473684,4,"2022-02-03","30m",10,10
"227",0.590833333333333,0.483704387946846,0.175512317268353,0.215105623316462,0.416666666666667,0.368479285565096,0.256637168141593,0,"2022-02-03","15-30m",10,10
"228",0.432333333333333,0.282311479145151,0.16291776998085,0.195899394407425,0.5,0.177722456490937,0.345454545454545,6,"2022-02-03","15-30m",10,10
"229",0.683,0.596009835194046,0.151941789905348,0.189739128315649,0.333333333333333,0.808403992861572,0.150442477876106,0,"2022-03-09","15m",10,10
"230",0.672,0.583469957648724,0.11529691334425,0.135927168902184,0.416666666666667,0.608374246704568,0.305785123966942,2,"2022-03-09","15m",10,10
"231",0.654119047619048,0.557742393442191,0.14990314065851,0.187456448287449,0.583333333333333,0.0664476395310109,0.495798319327731,0,"2022-03-09","30m",10,10
"232",0.631,0.530915712625038,0.133592469613463,0.164382005698546,0.666666666666667,0.0187584322624713,0.582608695652174,2,"2022-03-09","30m",10,10
"233",0.570785714285714,0.458879980122721,0.12151689013867,0.144583550299948,0.666666666666667,0.0187584322624713,0.586206896551724,0,"2022-03-09","15-30m",10,10
