mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.457890776,0.322755853,0.129721399,0.161766739,NA,NA,NA,3,14/02/2022,15-30m,10,10
0.05,0.694952381,0.61591143,0.171474337,0.213806879,NA,NA,NA,0,14/02/2022,15m,10,10
0.05,0.538083333,0.422436584,0.155355403,0.190663075,NA,NA,NA,3,14/02/2022,15m,10,10
0.05,0.47284127,0.339527104,0.172963033,0.21284939,NA,NA,NA,0,14/02/2022,30m,10,10
0.05,0.401511905,0.250052745,0.146019674,0.177736097,NA,NA,NA,3,14/02/2022,30m,10,10
0.05,0.366197636,0.207522498,0.115339905,0.139377897,NA,NA,NA,0,03/02/2022,15-30m,10,10
0.05,0.363077589,0.20240423,0.125216968,0.154773656,NA,NA,NA,3,03/02/2022,15-30m,10,10
0.05,0.490892857,0.356891261,0.144355357,0.176106434,NA,NA,NA,0,03/02/2022,30m,10,10
0.05,0.334646825,0.163559354,0.168556351,0.212737859,NA,NA,NA,4,03/02/2022,30m,10,10
0.05,0.556797619,0.443444087,0.161454018,0.198631499,NA,NA,NA,0,03/02/2022,15m,10,10
0.05,0.518011905,0.393725496,0.177026074,0.217896136,NA,NA,NA,3,03/02/2022,15m,10,10
0.05,0.464285714,0.329345585,0.16678138,0.20559588,NA,NA,NA,0,03/05/2022,50m,10,10
0.05,0.288269841,0.113210571,0.1298022,0.157431518,NA,NA,NA,3,03/05/2022,50m,10,10
0.05,0.324473027,0.156805579,0.106134989,0.131444748,NA,NA,NA,0,19/01/2022,15-30m,10,10
0.05,0.324125708,0.15546858,0.118185533,0.148087668,NA,NA,NA,4,19/01/2022,15-30m,10,10
0.05,0.380285714,0.22503321,0.145660753,0.179042604,NA,NA,NA,0,19/01/2022,30m,10,10
0.05,0.366892857,0.208861338,0.165684049,0.202720609,NA,NA,NA,4,19/01/2022,30m,10,10
0.05,0.299722222,0.127283932,0.145649271,0.177246037,NA,NA,NA,0,19/01/2022,15m,10,10
