"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"24",0.05,0.771488095238095,0.711157410461446,0.173437781956898,0.21761347931227,"2022-03-09","15-30m",3,10,10
"25",0.05,0.32625,0.167573679276714,0.100454682066984,0.112864993564558,"2022-06-02","50m",0,10,10
"26",0.05,0.137130952380952,-0.0720963173326968,0.11154274733551,0.13998131531487,"2022-06-02","50m",2,10,10
"27",0.05,0.170309523809524,-0.00241379310344828,0.0439204643885106,0.0419855255571316,"2022-05-26","15m",0,10,10
"28",0.05,0.185809523809524,-0.0144075679671336,0.137457338946432,0.165745689676265,"2022-05-26","15m",3,10,10
"29",0.05,0.272107142857143,0.105250058720587,0.12626422185139,0.146263712120465,"2022-05-26","50m",0,10,10
"30",0.05,0.193559523809524,-0.000104665917254895,0.134156342044354,0.161295226923301,"2022-05-26","50m",3,10,10
"31",0.05,0.156535714285714,-0.0212279177537224,0.0593051527424348,0.073988554392297,"2022-05-26","30m",0,10,10
"32",0.05,0.261984126984127,0.0942344684442974,0.108624295866129,0.134163092025292,"2022-05-26","30m",3,10,10
"33",0.05,0.196690476190476,0.0010478415670495,0.155769978772886,0.195821212335051,"2022-05-26","15-30-50m",0,10,10
"34",0.05,0.261984126984127,0.0942344684442974,0.108624295866129,0.134163092025292,"2022-05-26","15-30-50m",5,10,10
"35",0.05,0.753916666666667,0.68985953274282,0.172711142522595,0.216239207927335,"2022-03-22","50m",0,10,10
"36",0.05,0.841944444444444,0.799954222565141,0.13674325263492,0.173739721833381,"2022-03-22","50m",2,10,10
"37",0.05,0.662083333333333,0.578984232974543,0.127170270201689,0.154408459631328,"2022-04-19","50m",0,10,10
"38",0.05,0.517916666666667,0.39932065374072,0.141060671610468,0.176315201944259,"2022-04-19","50m",3,10,10
"39",0.05,0.737833333333333,0.670020413684793,0.108621297185026,0.132097911123537,"2022-04-05","50m",0,10,10
"40",0.05,0.68768253968254,0.606621934069184,0.153039266362574,0.189220177375086,"2022-04-05","50m",4,10,10
"41",0.05,0.445333333333333,0.307637648890789,0.148044612261265,0.17830529480788,"2022-05-03","50m",0,10,10
"42",0.05,0.291892857142857,0.121337311024743,0.153109233129556,0.184663791010475,"2022-05-03","50m",3,10,10
"43",0.05,0.690738095238095,0.611086017804422,0.160737895759213,0.199361524918193,"2022-02-14","15m",0,10,10
"44",0.05,0.572345238095238,0.460791130356808,0.160313161169193,0.198288433288355,"2022-02-14","15m",3,10,10
"45",0.05,0.507186507936508,0.387752555791513,0.157395390980739,0.191151850136556,"2022-02-14","30m",0,10,10
"46",0.05,0.392309523809524,0.238650576342687,0.138327293789256,0.171391714694746,"2022-02-14","30m",3,10,10
"47",0.05,0.518956349206349,0.399490771248317,0.146871288961712,0.179565112277624,"2022-02-14","15-30m",0,10,10
"48",0.05,0.392309523809524,0.238650576342687,0.138327293789256,0.171391714694746,"2022-02-14","15-30m",4,10,10
"49",0.05,0.347293650793651,0.195677010281394,0.119458025144442,0.131634731741386,"2022-01-19","30m",0,10,10
"50",0.05,0.36002380952381,0.195759342530269,0.1593282544997,0.194712633516823,"2022-01-19","30m",4,10,10
"51",0.05,0.332162698412698,0.168464578393799,0.113794169989288,0.129579033292105,"2022-01-19","15m",0,10,10
"52",0.05,0.443035714285714,0.297218826318457,0.168775259648192,0.2108231324806,"2022-01-19","15m",4,10,10
"53",0.05,0.340428571428571,0.179674319852392,0.171618354677999,0.206862123669885,"2022-01-19","15-30m",0,10,10
"54",0.05,0.443035714285714,0.297218826318457,0.168775259648192,0.2108231324806,"2022-01-19","15-30m",6,10,10
"55",0.05,0.534809523809524,0.419991020693568,0.163016276971473,0.198284498847699,"2022-02-03","15m",0,10,10
"56",0.05,0.515297619047619,0.392691986761992,0.173047094549155,0.216593500164308,"2022-02-03","15m",3,10,10
"57",0.05,0.466607142857143,0.332430345390074,0.17137030493616,0.206768687867539,"2022-02-03","30m",0,10,10
"58",0.05,0.34272619047619,0.17887222916472,0.164667621762126,0.20171961452274,"2022-02-03","30m",4,10,10
"59",0.05,0.416440476190476,0.272502412196249,0.176814808371944,0.217959442344892,"2022-02-03","15-30m",0,10,10
"60",0.05,0.34272619047619,0.17887222916472,0.164667621762126,0.20171961452274,"2022-02-03","15-30m",6,10,10
"61",0.05,0.702111111111111,0.624720699876789,0.166776057231968,0.20924245159435,"2022-03-09","15m",0,10,10
"62",0.05,0.720666666666667,0.64828187625984,0.152716955341111,0.18892672997873,"2022-03-09","15m",2,10,10
"63",0.05,0.743535714285714,0.677045370484839,0.152447569068725,0.190335652584921,"2022-03-09","30m",0,10,10
"64",0.05,0.780440476190476,0.720452691488355,0.152394785683878,0.194314253670847,"2022-03-09","30m",2,10,10
"65",0.05,0.81475,0.767271270824134,0.145728311763838,0.181776245738094,"2022-03-09","15-30m",0,10,10
"66",0.05,0.780440476190476,0.720452691488355,0.152394785683878,0.194314253670847,"2022-03-09","15-30m",3,10,10
"67",0.05,0.325678571428571,0.166049228316799,0.0962189830019936,0.10564875582414,"2022-06-02","50m",0,10,10
"68",0.05,0.137361111111111,-0.0735667949604173,0.124509420511386,0.151258162783077,"2022-06-02","50m",2,10,10
"69",0.05,0.175424603174603,0.00301869703047163,0.0371755918190602,0.0204110453363147,"2022-05-26","15m",0,10,10
"70",0.05,0.188690476190476,-0.00785899020473703,0.148949044743045,0.180544890526704,"2022-05-26","15m",3,10,10
"71",0.05,0.275071428571429,0.108490984335858,0.113473497204859,0.134176343342912,"2022-05-26","50m",0,10,10
"72",0.05,0.196547619047619,0.006944750524287,0.133221249615412,0.162267991137912,"2022-05-26","50m",3,10,10
"73",0.05,0.161575396825397,-0.0157979015841992,0.0592339974575193,0.0694270305350667,"2022-05-26","30m",0,10,10
"74",0.05,0.265619047619048,0.101727445410305,0.118819921736665,0.138317898278709,"2022-05-26","30m",3,10,10
"75",0.05,0.221484126984127,0.0335755060285142,0.139444273342859,0.169659040685027,"2022-05-26","15-30-50m",0,10,10
"76",0.05,0.265619047619048,0.101727445410305,0.118819921736665,0.138317898278709,"2022-05-26","15-30-50m",5,10,10
"77",0.05,0.768726190476191,0.708515829898276,0.153336001126264,0.191275046224689,"2022-03-22","50m",0,10,10
"78",0.05,0.842535714285714,0.800804664894635,0.128398046273887,0.161293190181854,"2022-03-22","50m",2,10,10
"79",0.05,0.659166666666667,0.575867791067333,0.121381346389338,0.148116270945976,"2022-04-19","50m",0,10,10
"80",0.05,0.496019841269841,0.367232258054096,0.175140643895658,0.220842117897993,"2022-04-19","50m",3,10,10
"81",0.05,0.74515873015873,0.679448553740834,0.118144643448686,0.144700851932697,"2022-04-05","50m",0,10,10
"82",0.05,0.703789682539683,0.626140006700731,0.14975864150005,0.186382058075213,"2022-04-05","50m",4,10,10
"83",0.05,0.448075396825397,0.313155350187107,0.154808007906293,0.186875840137599,"2022-05-03","50m",0,10,10
"84",0.05,0.297166666666667,0.12657376740928,0.151404245295446,0.181734801303913,"2022-05-03","50m",3,10,10
"85",0.05,0.692452380952381,0.613077686505856,0.158657741417066,0.197929076654156,"2022-02-14","15m",0,10,10
"86",0.05,0.521896825396825,0.402883458846746,0.176828527726528,0.21740751123789,"2022-02-14","15m",3,10,10
"87",0.05,0.51775,0.400051175722145,0.138992137978043,0.165879557940823,"2022-02-14","30m",0,10,10
"88",0.05,0.410583333333333,0.264147038745252,0.144470794161174,0.177458137613186,"2022-02-14","30m",3,10,10
