"","contrast","estimate","SE","df","t.ratio","p.value"
"69","(02/06/2022_50m_PC_7030split) - (26/05/2022_15-30-50m_PC_8020split)",0.0527777776999925,0.04673489448868,756,1.12930131280763,1
"70","(02/06/2022_50m_PC_7030split) - (26/05/2022_15-30-50m_var_7030split)",-0.0265656568000075,0.0467348944886801,756,-0.568433011150632,1
"71","(02/06/2022_50m_PC_7030split) - (26/05/2022_15-30-50m_var_8020split)",-0.00833333370000731,0.0467348944886798,756,-0.178310741709834,1
"72","(02/06/2022_50m_PC_7030split) - (26/05/2022_15m_PC_7030split)",0.105555555199992,0.0467348944886795,756,2.25860262133597,1
"73","(02/06/2022_50m_PC_7030split) - (26/05/2022_15m_PC_8020split)",0.0916666664999933,0.0467348944886802,756,1.96141806893768,1
"74","(02/06/2022_50m_PC_7030split) - (26/05/2022_15m_var_7030split)",0.022222222099993,0.0467348944886799,756,0.475495287688639,1
"75","(02/06/2022_50m_PC_7030split) - (26/05/2022_15m_var_8020split)",0.0583333330999928,0.0467348944886799,756,1.24817513205518,1
"76","(02/06/2022_50m_PC_7030split) - (26/05/2022_30m_PC_7030split)",0.0499999996999927,0.0467348944886797,756,1.06986439676469,1
"77","(02/06/2022_50m_PC_7030split) - (26/05/2022_30m_PC_8020split)",0.0416666665999927,0.0467348944886799,756,0.891553667893381,1
"78","(02/06/2022_50m_PC_7030split) - (26/05/2022_30m_var_7030split)",0.0777777774999928,0.04673489448868,756,1.66423351012019,1
"79","(02/06/2022_50m_PC_7030split) - (26/05/2022_30m_var_8020split)",0.0499999997999927,0.0467348944886799,756,1.06986439890441,1
"80","(02/06/2022_50m_PC_7030split) - (26/05/2022_50m_PC_7030split)",0.0666666665999926,0.0467348944886799,756,1.42648586948539,1
"81","(02/06/2022_50m_PC_7030split) - (26/05/2022_50m_PC_8020split)",0.0333333331999925,0.0467348944886799,756,0.713242932602887,1
"82","(02/06/2022_50m_PC_7030split) - (26/05/2022_50m_var_7030split)",0.0111111109999929,0.0467348944886799,756,0.237747642774378,1
"83","(02/06/2022_50m_PC_7030split) - (26/05/2022_50m_var_8020split)",-0.0666666669000074,0.0467348944886799,756,-1.42648587590489,1
"84","(02/06/2022_50m_PC_8020split) - (02/06/2022_50m_var_7030split)",0.0805555555000021,0.0467348944886792,756,1.72367042616338,1
"85","(02/06/2022_50m_PC_8020split) - (02/06/2022_50m_var_8020split)",0.0333333334000029,0.0467348944886792,756,0.713242936882578,1
"86","(02/06/2022_50m_PC_8020split) - (03/02/2022_15-30m_PC_7030split)",-0.0916666665999857,0.0467348944886792,756,-1.96141807107729,1
"87","(02/06/2022_50m_PC_8020split) - (03/02/2022_15-30m_PC_8020split)",-0.175000000000008,0.0467348944886792,756,-3.74452541114432,0.677892939227208
"88","(02/06/2022_50m_PC_8020split) - (03/02/2022_15-30m_var_7030split)",-0.163888888800008,0.0467348944886796,756,-3.5067777640903,1
"89","(02/06/2022_50m_PC_8020split) - (03/02/2022_15-30m_var_8020split)",-0.233333333299991,0.0467348944886791,756,-4.99270054747877,0.00257870066758461
"90","(02/06/2022_50m_PC_8020split) - (03/02/2022_15m_PC_7030split)",-0.263888888899998,0.0467348944886792,756,-5.64650657259793,8.0788686547379e-05
"91","(02/06/2022_50m_PC_8020split) - (03/02/2022_15m_PC_8020split)",-0.324999999999998,0.0467348944886791,756,-6.95411862069625,2.67805392466093e-08
"92","(02/06/2022_50m_PC_8020split) - (03/02/2022_15m_var_7030split)",-0.286111110900016,0.0467348944886796,756,-6.12200185814733,5.17278515227648e-06
"93","(02/06/2022_50m_PC_8020split) - (03/02/2022_15m_var_8020split)",-0.316666666600007,0.0467348944886793,756,-6.77580788540592,8.67806648167992e-08
"94","(02/06/2022_50m_PC_8020split) - (03/02/2022_30m_PC_7030split)",-0.0916666666000009,0.0467348944886793,756,-1.96141807107761,1
