"","contrast","estimate","SE","df","t.ratio","p.value"
"57","(09/03/2022_15-30m_var_8020split) - (09/03/2022_30m_PC_7030split)",0.0125000000000003,0.043654056536539,144,0.286342232354458,0.99999999999357
"58","(09/03/2022_15-30m_var_8020split) - (09/03/2022_30m_PC_8020split)",-0.0208333332999998,0.0436540565365389,144,-0.477237053160501,0.999999988910494
"59","(09/03/2022_15-30m_var_8020split) - (09/03/2022_30m_var_7030split)",-0.0930555553999997,0.0436540565365389,144,-2.13165883729754,0.741647205773271
"60","(09/03/2022_15-30m_var_8020split) - (09/03/2022_30m_var_8020split)",-0.0625000000999997,0.0436540565365389,144,-1.43171116406299,0.987711073765094
"61","(09/03/2022_15-30m_var_8020split) - (19/04/2022_50m_var_7030split)",0.00694444450000011,0.0436540565365389,144,0.15907901924733,1
"62","(09/03/2022_15-30m_var_8020split) - (22/03/2022_50m_PC_7030split)",-0.1097222221,0.0436540565365389,144,-2.51344848120039,0.467903518283199
"63","(09/03/2022_15-30m_var_8020split) - (22/03/2022_50m_PC_8020split)",-0.1791666667,0.0436540565365389,144,-4.10423866451072,0.00650892374923373
"64","(09/03/2022_15-30m_var_8020split) - (22/03/2022_50m_var_7030split)",-0.1486111109,0.0436540565365389,144,-3.40429097982248,0.0637669780467105
"65","(09/03/2022_15-30m_var_8020split) - (22/03/2022_50m_var_8020split)",-0.1791666668,0.0436540565365389,144,-4.10423866680146,0.00650892369528777
"66","(09/03/2022_15m_PC_7030split) - (09/03/2022_15m_var_7030split)",-0.0888888888000003,0.0436540565365389,144,-2.0362114280399,0.800730563435438
"67","(09/03/2022_15m_PC_7030split) - (09/03/2022_30m_PC_7030split)",-0.00555555550000003,0.043654056536539,144,-0.127263213107125,1
"68","(09/03/2022_15m_PC_7030split) - (09/03/2022_30m_PC_8020split)",-0.0388888888000001,0.0436540565365389,144,-0.890842498622084,0.999944232141317
"69","(09/03/2022_15m_PC_7030split) - (09/03/2022_30m_var_7030split)",-0.1111111109,0.0436540565365389,144,-2.54526428275912,0.445208654432216
"70","(09/03/2022_15m_PC_7030split) - (09/03/2022_30m_var_8020split)",-0.0805555556,0.0436540565365389,144,-1.84531660952457,0.895210992984275
"71","(09/03/2022_15m_PC_7030split) - (19/04/2022_50m_var_7030split)",-0.0111111110000002,0.0436540565365389,144,-0.254526426214253,0.999999999999033
"72","(09/03/2022_15m_PC_7030split) - (22/03/2022_50m_PC_7030split)",-0.1277777776,0.0436540565365389,144,-2.92705392666197,0.215129316521996
"73","(09/03/2022_15m_PC_7030split) - (22/03/2022_50m_PC_8020split)",-0.1972222222,0.0436540565365389,144,-4.5178441099723,0.00135180514422939
"74","(09/03/2022_15m_PC_7030split) - (22/03/2022_50m_var_7030split)",-0.1666666664,0.0436540565365389,144,-3.81789642528406,0.0176311640394309
"75","(09/03/2022_15m_PC_7030split) - (22/03/2022_50m_var_8020split)",-0.1972222223,0.0436540565365389,144,-4.51784411226304,0.00135180513192679
"76","(09/03/2022_15m_var_7030split) - (09/03/2022_30m_PC_7030split)",0.0833333333000003,0.043654056536539,144,1.90894821493277,0.867563100393426
"77","(09/03/2022_15m_var_7030split) - (09/03/2022_30m_PC_8020split)",0.0500000000000003,0.0436540565365389,144,1.14536892941781,0.998837929044026
"78","(09/03/2022_15m_var_7030split) - (09/03/2022_30m_var_7030split)",-0.0222222220999997,0.0436540565365389,144,-0.509052854719227,0.999999972161694
"79","(09/03/2022_15m_var_7030split) - (09/03/2022_30m_var_8020split)",0.00833333320000028,0.0436540565365389,144,0.190894818515324,1
"80","(09/03/2022_15m_var_7030split) - (19/04/2022_50m_var_7030split)",0.0777777778000001,0.0436540565365389,144,1.78168500182564,0.918891055689077
"81","(09/03/2022_15m_var_7030split) - (22/03/2022_50m_PC_7030split)",-0.0388888887999998,0.0436540565365389,144,-0.890842498622077,0.999944232141317
"82","(09/03/2022_15m_var_7030split) - (22/03/2022_50m_PC_8020split)",-0.1083333334,0.0436540565365389,144,-2.4816326819324,0.490903304450813
"83","(09/03/2022_15m_var_7030split) - (22/03/2022_50m_var_7030split)",-0.0777777775999999,0.0436540565365389,144,-1.78168499724416,0.918891057252494
"84","(09/03/2022_15m_var_7030split) - (22/03/2022_50m_var_8020split)",-0.1083333335,0.0436540565365389,144,-2.48163268422314,0.490903302785519
"85","(09/03/2022_30m_PC_7030split) - (09/03/2022_30m_PC_8020split)",-0.0333333333,0.043654056536539,144,-0.763579285514958,0.999992489199221
"86","(09/03/2022_30m_PC_7030split) - (09/03/2022_30m_var_7030split)",-0.1055555554,0.043654056536539,144,-2.418001069652,0.537530673500405
"87","(09/03/2022_30m_PC_7030split) - (09/03/2022_30m_var_8020split)",-0.0750000001,0.043654056536539,144,-1.71805339641745,0.938691229708443
"88","(09/03/2022_30m_PC_7030split) - (19/04/2022_50m_var_7030split)",-0.00555555550000018,0.043654056536539,144,-0.127263213107128,1
"89","(09/03/2022_30m_PC_7030split) - (22/03/2022_50m_PC_7030split)",-0.1222222221,0.043654056536539,144,-2.79979071355485,0.281394450961152
"90","(09/03/2022_30m_PC_7030split) - (22/03/2022_50m_PC_8020split)",-0.1916666667,0.043654056536539,144,-4.39058089686517,0.00222668130190296
"91","(09/03/2022_30m_PC_7030split) - (22/03/2022_50m_var_7030split)",-0.1611111109,0.043654056536539,144,-3.69063321217693,0.0267281245911986
"92","(09/03/2022_30m_PC_7030split) - (22/03/2022_50m_var_8020split)",-0.1916666668,0.043654056536539,144,-4.39058089915591,0.00222668128216641
"93","(09/03/2022_30m_PC_8020split) - (09/03/2022_30m_var_7030split)",-0.0722222220999999,0.0436540565365389,144,-1.65442178413704,0.954828206750316
"94","(09/03/2022_30m_PC_8020split) - (09/03/2022_30m_var_8020split)",-0.0416666668,0.0436540565365389,144,-0.954474110902489,0.999867429710986
"95","(09/03/2022_30m_PC_8020split) - (19/04/2022_50m_var_7030split)",0.0277777777999999,0.0436540565365389,144,0.636316072407831,0.999999364823854
"96","(09/03/2022_30m_PC_8020split) - (22/03/2022_50m_PC_7030split)",-0.0888888888,0.0436540565365389,144,-2.03621142803989,0.800730563435442
"97","(09/03/2022_30m_PC_8020split) - (22/03/2022_50m_PC_8020split)",-0.1583333334,0.0436540565365389,144,-3.62700161135021,0.0326918959810603
"98","(09/03/2022_30m_PC_8020split) - (22/03/2022_50m_var_7030split)",-0.1277777776,0.0436540565365389,144,-2.92705392666197,0.215129316521995
