"","mtry","date","alt","PC","OOB","X35","X70","X140","X280","X560","Accuracy_test","AccuracyPValue_test","Kappa_test","split"
"286",4,"14/02/2022","15m",0,0.404761905,0.666666667,0.555555556,0.25,0.428571429,0.111111111,0.722222222,0.000113749,0.649805447,"7030split"
"287",4,"14/02/2022","15m",0,0.19047619,0.333333333,0.25,0.111111111,0.25,0.090909091,0.444444444,0.223260162,0.291338583,"7030split"
"288",4,"14/02/2022","15m",0,0.19047619,0.5,0.428571429,0,0.181818182,0,0.388888889,0.391489654,0.23255814,"7030split"
"289",4,"14/02/2022","15m",0,0.285714286,0.75,0.666666667,0.125,0.1,0,0.5,0.107602386,0.362204724,"7030split"
"290",4,"14/02/2022","15m",0,0.285714286,1,0.272727273,0.1,0.142857143,0.125,0.5,0.107602386,0.402214022,"7030split"
"291",4,"09/03/2022","15m",0,0.261904762,0.285714286,0.444444444,0.222222222,0.285714286,0.1,0.666666667,0.000669739,0.586206897,"7030split"
"292",4,"09/03/2022","15m",0,0.404761905,0.5,0.363636364,0.666666667,0.428571429,0.2,0.944444444,9.55e-08,0.924686192,"7030split"
"293",4,"09/03/2022","15m",0,0.166666667,0.125,0.222222222,0,0.181818182,0.333333333,0.611111111,0.014433622,0.505882353,"7030split"
"294",4,"09/03/2022","15m",0,0.261904762,0.333333333,0.5,0.25,0.1,0.142857143,0.777777778,1.51e-05,0.724137931,"7030split"
"295",4,"09/03/2022","15m",0,0.357142857,0.375,0.833333333,0.25,0.272727273,0.222222222,0.833333333,1.85e-05,0.785714286,"7030split"
"296",4,"09/03/2022","15m",0,0.357142857,0.333333333,0.428571429,0.272727273,0.5,0.285714286,0.833333333,1.5e-06,0.787401575,"7030split"
"297",4,"09/03/2022","15m",0,0.333333333,0.25,0.444444444,0.375,0.333333333,0.25,0.833333333,6.45e-08,0.791505792,"7030split"
"298",4,"09/03/2022","15m",0,0.333333333,0.25,0.444444444,0.2,0.428571429,0.375,0.888888889,1.05e-07,0.858267717,"7030split"
"299",4,"09/03/2022","15m",0,0.380952381,0.444444444,0.5,0.25,0.285714286,0.375,0.777777778,1.51e-05,0.722007722,"7030split"
"300",4,"09/03/2022","15m",0,0.261904762,0.25,0.25,0.25,0.428571429,0.181818182,0.666666667,0.000669739,0.581395349,"7030split"
"301",4,"26/05/2022","15m",0,0.880952381,0.875,0.777777778,0.875,0.888888889,1,0.333333333,0.193147777,0.162790698,"7030split"
"302",4,"26/05/2022","15m",0,0.761904762,0.833333333,0.75,0.6,0.7,1,0.111111111,0.993233605,-0.082706767,"7030split"
"303",4,"26/05/2022","15m",0,0.761904762,0.888888889,0.875,0.625,0.75,0.666666667,0.166666667,0.797849766,-0.038461538,"7030split"
"304",4,"26/05/2022","15m",0,0.80952381,0.5,0.8,0.857142857,1,0.857142857,0.222222222,0.779975533,0.052631579,"7030split"
"305",4,"26/05/2022","15m",0,0.857142857,0.666666667,1,0.875,0.8,1,0.277777778,0.768927616,0.120300752,"7030split"
"306",4,"26/05/2022","15m",0,0.785714286,0.833333333,1,0.454545455,1,0.777777778,0.277777778,0.768927616,0.11026616,"7030split"
"307",4,"26/05/2022","15m",0,0.785714286,0.7,1,0.555555556,1,0.714285714,0.111111111,0.977355167,-0.078651685,"7030split"
"308",4,"26/05/2022","15m",0,0.738095238,0.75,0.6,0.666666667,0.888888889,0.833333333,0.111111111,0.993233605,-0.058823529,"7030split"
"309",4,"26/05/2022","15m",0,0.738095238,0.777777778,0.777777778,0.4,1,0.833333333,0.222222222,0.898334917,0.080291971,"7030split"
"310",4,"26/05/2022","15m",0,0.738095238,0.666666667,0.888888889,0.5,1,0.714285714,0.277777778,0.588592566,0.116981132,"7030split"
"311",4,"19/01/2022","30m",0,0.642857143,0.625,0.777777778,0.875,0.625,0.333333333,0.555555556,0.002146917,0.444015444,"7030split"
"312",4,"19/01/2022","30m",0,0.547619048,0.454545455,0.714285714,0.875,0.714285714,0.111111111,0.444444444,0.097489527,0.310344828,"7030split"
"313",4,"19/01/2022","30m",0,0.642857143,0.7,0.75,0.75,0.6,0.333333333,0.555555556,0.043348066,0.441860465,"7030split"
"314",4,"19/01/2022","30m",0,0.642857143,0.5,1,0.9,0.666666667,0.125,0.5,0.037600683,0.379310345,"7030split"
"315",4,"19/01/2022","30m",0,0.523809524,0.75,0.4,0.5,0.714285714,0.333333333,0.5,0.037600683,0.388679245,"7030split"
"316",4,"19/01/2022","30m",0,0.619047619,0.857142857,1,0.333333333,0.625,0.2,0.5,0.231971116,0.4,"7030split"
"317",4,"19/01/2022","30m",0,0.666666667,0.5,0.9,0.875,1,0.125,0.388888889,0.391489654,0.220472441,"7030split"
"318",4,"19/01/2022","30m",0,0.428571429,0.454545455,1,0.571428571,0.333333333,0.181818182,0.277777778,0.954646737,0.082352941,"7030split"
"319",4,"19/01/2022","30m",0,0.5,0.25,1,0.6,0.454545455,0.375,0.444444444,0.398260124,0.335793358,"7030split"
"320",4,"19/01/2022","30m",0,0.523809524,0.7,0.833333333,0.375,0.714285714,0.181818182,0.444444444,0.223260162,0.282868526,"7030split"
"321",4,"03/02/2022","30m",0,0.714285714,1,1,0.6,0.833333333,0.125,0.388888889,0.391489654,0.211155378,"7030split"
"322",4,"03/02/2022","30m",0,0.642857143,0.75,1,0.777777778,0.333333333,0.285714286,0.333333333,0.382487831,0.172413793,"7030split"
