"","ID","N","mean_OOB","sd_OOB","mean_accuracy","sd_accuracy","mean_accpval","sd_accpval","mean_kappa","sd_kappa","lsmean","SE","df","lower.CL","upper.CL"
"31","09/03/2022_15m_var_7030split",10,0.3119047619,0.0722614579331216,0.7833333333,0.10621948426336,0.0015823565,0.00452387277928631,0.7267205814,0.132294502476456,0.783333333300001,0.0330465608109831,756,0.718459403277042,0.848207263322959
"32","09/03/2022_15m_var_8020split",10,0.2791666666,0.0370080904109385,0.675,0.107223661504445,0.0297738107,0.0303936199139547,0.584722862,0.129397632186521,0.674999999999994,0.033046560810983,756,0.610126069977036,0.739873930022952
"33","09/03/2022_30m_PC_7030split",10,0.3357142857,0.0921797295587365,0.7,0.10210406459519,0.0281066621,0.0738984695274317,0.6220143708,0.116632655110462,0.699999999999998,0.0330465608109832,756,0.635126069977039,0.764873930022957
"34","09/03/2022_30m_PC_8020split",10,0.3333333334,0.0555555555833333,0.7333333333,0.116534316458053,0.0507824037,0.0768122469723859,0.6503992807,0.150424172032875,0.733333333300006,0.0330465608109833,756,0.668459403277047,0.798207263322965
"35","09/03/2022_30m_var_7030split",10,0.238095238,0.0614759262347855,0.8055555554,0.0988618356461436,0.0031552463,0.00644022194943249,0.7510944419,0.119254412885641,0.805555555400011,0.0330465608109834,756,0.740681625377052,0.870429485422971
"36","09/03/2022_30m_var_8020split",10,0.2104166667,0.0346527080805356,0.7750000001,0.0882791587927779,0.0311880716,0.0614355577672019,0.7013511244,0.115036971837991,0.775000000099997,0.0330465608109831,756,0.710126070077038,0.839873930122955
"37","14/02/2022_15-30m_PC_7030split",10,0.5416666666,0.0749254268670313,0.4972222222,0.0698445267004775,0.016670848,0.0195908285753365,0.3723152723,0.0857032284848469,0.4972222222,0.0330465608109832,756,0.432348292177041,0.562096152222959
"38","14/02/2022_15-30m_PC_8020split",10,0.5343749999,0.0436589661705741,0.4124999999,0.0746648891508826,0.2635100306,0.31869913994268,0.2717397354,0.0877129760142424,0.412499999899997,0.0330465608109831,756,0.347626069877038,0.477373929922956
"39","14/02/2022_15-30m_var_7030split",10,0.4738095239,0.0543520434513447,0.536111111,0.0797049600875093,0.011986901,0.0186977366866352,0.4193437507,0.100287698370722,0.536111110999994,0.0330465608109828,756,0.471237180977036,0.600985041022952
"40","14/02/2022_15-30m_var_8020split",10,0.4864583334,0.0350849112163866,0.5208333333,0.076703896023106,0.1091079458,0.288065613662659,0.4032467832,0.0888824969378051,0.520833333299996,0.033046560810983,756,0.455959403277038,0.585707263322955
"41","14/02/2022_15m_PC_7030split",10,0.5476190476,0.102254751815422,0.3777777777,0.15449373054788,0.4203785061,0.369007381686451,0.2185095971,0.206515668652851,0.377777777699998,0.0330465608109831,756,0.312903847677039,0.442651707722956
"42","14/02/2022_15m_PC_8020split",10,0.58125,0.0346527080604954,0.3833333334,0.148032362219204,0.493104572,0.323090082406405,0.2409025628,0.167361647662228,0.383333333399995,0.0330465608109831,756,0.318459403377037,0.448207263422954
"43","14/02/2022_15m_var_7030split",10,0.3000000001,0.0795236513406531,0.5333333333,0.120583856198013,0.1300066717,0.13158058779783,0.4104001523,0.15209855376904,0.533333333300003,0.0330465608109833,756,0.468459403277043,0.598207263322962
"44","14/02/2022_15m_var_8020split",10,0.3500000001,0.0553816724597989,0.6000000001,0.140545673881886,0.1740956302,0.290216420291318,0.4899853857,0.169343466608317,0.600000000099995,0.033046560810983,756,0.535126070077037,0.664873930122954
